owner,repo,status,message
codecrafters-io,build-your-own-x,ok,rows=5 sample_target=5 population=558
sindresorhus,awesome,ok,rows=300 sample_target=300 population=2387
freeCodeCamp,freeCodeCamp,error,"IncompleteRead(722801 bytes read, 1247528 more expected)"
donnemartin,system-design-primer,ok,rows=242 sample_target=242 population=648
jwasham,coding-interview-university,ok,rows=280 sample_target=280 population=1026
vinta,awesome-python,ok,rows=300 sample_target=300 population=1427
EbookFoundation,free-programming-books,ok,rows=300 sample_target=300 population=11393
996icu,996.ICU,ok,rows=300 sample_target=300 population=1920
freeCodeCamp,freeCodeCamp,ok,rows=300 sample_target=300 population=44365
openclaw,openclaw,ok,rows=300 sample_target=300 population=40096
awesome-selfhosted,awesome-selfhosted,ok,rows=300 sample_target=300 population=2990
trimstray,the-book-of-secret-knowledge,ok,rows=188 sample_target=188 population=367
trekhleb,javascript-algorithms,ok,rows=263 sample_target=263 population=829
getify,You-Dont-Know-JS,ok,rows=268 sample_target=268 population=881
ohmyzsh,ohmyzsh,ok,rows=300 sample_target=300 population=7950
TheAlgorithms,Python,ok,rows=300 sample_target=300 population=12072
facebook,react,ok,rows=300 sample_target=300 population=19277
github,gitignore,ok,rows=300 sample_target=300 population=4656
Significant-Gravitas,AutoGPT,ok,rows=300 sample_target=300 population=7851
obra,superpowers,ok,rows=246 sample_target=246 population=675
flutter,flutter,error,HTTP Error 502: Bad Gateway
affaan-m,everything-claude-code,ok,rows=282 sample_target=282 population=1049
avelino,awesome-go,error,'NoneType' object has no attribute 'get'
f,prompts.chat,error,'NoneType' object has no attribute 'get'
jlevy,the-art-of-command-line,error,'NoneType' object has no attribute 'get'
ollama,ollama,ok,rows=300 sample_target=300 population=5422
AUTOMATIC1111,stable-diffusion-webui,error,'NoneType' object has no attribute 'get'
airbnb,javascript,error,'NoneType' object has no attribute 'get'
yt-dlp,yt-dlp,error,'NoneType' object has no attribute 'get'
ytdl-org,youtube-dl,error,'NoneType' object has no attribute 'get'
flutter,flutter,error,HTTP Error 502: Bad Gateway
AUTOMATIC1111,stable-diffusion-webui,error,'NoneType' object has no attribute 'get'
jlevy,the-art-of-command-line,error,'NoneType' object has no attribute 'get'
f,prompts.chat,error,'NoneType' object has no attribute 'get'
yt-dlp,yt-dlp,error,'NoneType' object has no attribute 'get'
airbnb,javascript,error,'NoneType' object has no attribute 'get'
avelino,awesome-go,error,'NoneType' object has no attribute 'get'
ytdl-org,youtube-dl,error,'NoneType' object has no attribute 'get'
langflow-ai,langflow,error,HTTP Error 502: Bad Gateway
langgenius,dify,error,'NoneType' object has no attribute 'get'
Genymobile,scrcpy,error,'NoneType' object has no attribute 'get'
yangshun,tech-interview-handbook,error,'NoneType' object has no attribute 'get'
x1xhlol,system-prompts-and-models-of-ai-tools,error,'NoneType' object has no attribute 'get'
flutter,flutter,error,HTTP Error 403: rate limit exceeded
microsoft,vscode,error,HTTP Error 403: rate limit exceeded
AUTOMATIC1111,stable-diffusion-webui,error,HTTP Error 403: rate limit exceeded
avelino,awesome-go,error,HTTP Error 403: rate limit exceeded
f,prompts.chat,error,HTTP Error 403: rate limit exceeded
jlevy,the-art-of-command-line,error,HTTP Error 403: rate limit exceeded
huggingface,transformers,error,HTTP Error 403: rate limit exceeded
yt-dlp,yt-dlp,error,HTTP Error 403: rate limit exceeded
ytdl-org,youtube-dl,error,HTTP Error 403: rate limit exceeded
langgenius,dify,error,HTTP Error 403: rate limit exceeded
langflow-ai,langflow,error,HTTP Error 403: rate limit exceeded
airbnb,javascript,error,HTTP Error 403: rate limit exceeded
x1xhlol,system-prompts-and-models-of-ai-tools,error,HTTP Error 403: rate limit exceeded
vercel,next.js,error,HTTP Error 403: rate limit exceeded
yangshun,tech-interview-handbook,error,HTTP Error 403: rate limit exceeded
Genymobile,scrcpy,error,HTTP Error 403: rate limit exceeded
open-webui,open-webui,error,HTTP Error 403: rate limit exceeded
labuladong,fucking-algorithm,error,HTTP Error 403: rate limit exceeded
langchain-ai,langchain,error,HTTP Error 403: rate limit exceeded
microsoft,PowerToys,error,HTTP Error 403: rate limit exceeded
krahets,hello-algo,error,HTTP Error 403: rate limit exceeded
Chalarangelo,30-seconds-of-code,error,HTTP Error 403: rate limit exceeded
NousResearch,hermes-agent,error,HTTP Error 403: rate limit exceeded
excalidraw,excalidraw,error,HTTP Error 403: rate limit exceeded
kubernetes,kubernetes,error,HTTP Error 403: rate limit exceeded
electron,electron,error,HTTP Error 403: rate limit exceeded
ripienaar,free-for-dev,error,HTTP Error 403: rate limit exceeded
anthropics,claude-code,error,HTTP Error 403: rate limit exceeded
microsoft,markitdown,error,HTTP Error 403: rate limit exceeded
nodejs,node,error,HTTP Error 403: rate limit exceeded
justjavac,free-programming-books-zh_CN,error,HTTP Error 403: rate limit exceeded
iptv-org,iptv,error,HTTP Error 403: rate limit exceeded
rustdesk,rustdesk,error,HTTP Error 403: rate limit exceeded
shadcn-ui,ui,error,HTTP Error 403: rate limit exceeded
firecrawl,firecrawl,error,HTTP Error 403: rate limit exceeded
d3,d3,error,HTTP Error 403: rate limit exceeded
rust-lang,rust,error,HTTP Error 403: rate limit exceeded
Hack-with-Github,Awesome-Hacking,error,HTTP Error 403: rate limit exceeded
Comfy-Org,ComfyUI,error,HTTP Error 403: rate limit exceeded
mrdoob,three.js,error,HTTP Error 403: rate limit exceeded
microsoft,generative-ai-for-beginners,error,HTTP Error 403: rate limit exceeded
godotengine,godot,error,HTTP Error 403: rate limit exceeded
