owner,repo,full_name,html_url,stargazers_count,forks_count,open_issues_count,language,created_at,pushed_at,default_branch,total_prs,review_probe_pr,review_probe_state,review_probe_human_reviewer
denoland,deno,denoland/deno,https://github.com/denoland/deno,106565,6036,2335,Rust,2018-05-15T01:34:26Z,2026-04-29T19:45:00Z,main,18034,33717,CHANGES_REQUESTED,fibibot
fatedier,frp,fatedier/frp,https://github.com/fatedier/frp,106175,15032,39,Go,2015-12-21T15:24:59Z,2026-04-27T10:28:22Z,dev,1146,5260,COMMENTED,johnvox
tauri-apps,tauri,tauri-apps/tauri,https://github.com/tauri-apps/tauri,106009,3563,1409,Rust,2019-07-13T09:09:37Z,2026-04-29T18:25:19Z,dev,6459,14886,COMMENTED,FabianLars
papers-we-love,papers-we-love,papers-we-love/papers-we-love,https://github.com/papers-we-love/papers-we-love,105711,6332,2,Shell,2013-12-15T14:31:41Z,2026-03-26T09:31:12Z,main,526,840,APPROVED,DarrenN
goldbergyoni,nodebestpractices,goldbergyoni/nodebestpractices,https://github.com/goldbergyoni/nodebestpractices,105238,10729,100,Dockerfile,2017-09-15T08:33:19Z,2025-04-15T21:52:42Z,master,979,1354,APPROVED,scutuatua-crypto
facebook,create-react-app,facebook/create-react-app,https://github.com/facebook/create-react-app,103465,27077,2378,JavaScript,2016-07-17T14:55:11Z,2025-02-15T01:32:11Z,main,4374,17220,COMMENTED,Taiseer22
deepseek-ai,DeepSeek-V3,deepseek-ai/DeepSeek-V3,https://github.com/deepseek-ai/DeepSeek-V3,103298,16716,172,Python,2024-12-26T09:52:40Z,2025-08-28T03:24:37Z,main,192,969,COMMENTED,AkramJaber9
microsoft,terminal,microsoft/terminal,https://github.com/microsoft/terminal,102965,9256,1726,C++,2017-08-11T18:38:22Z,2026-04-29T22:04:18Z,main,5130,20084,APPROVED,lhecker
google-gemini,gemini-cli,google-gemini/gemini-cli,https://github.com/google-gemini/gemini-cli,102743,13401,2833,TypeScript,2025-04-17T17:04:31Z,2026-04-29T23:09:10Z,main,11179,26235,APPROVED,akh64bit
supabase,supabase,supabase/supabase,https://github.com/supabase/supabase,101620,12233,973,TypeScript,2019-10-12T05:56:49Z,2026-04-29T21:59:01Z,master,20632,45386,COMMENTED,awaseem
angular,angular,angular/angular,https://github.com/angular/angular,100054,27200,1121,TypeScript,2014-09-18T16:12:01Z,2026-04-29T23:09:20Z,main,35843,68381,CHANGES_REQUESTED,thePunderWoman
Anduin2017,HowToCook,Anduin2017/HowToCook,https://github.com/Anduin2017/HowToCook,99712,10928,472,Dockerfile,2020-02-29T10:43:49Z,2026-04-12T05:52:37Z,master,862,1592,CHANGES_REQUESTED,instpe
pytorch,pytorch,pytorch/pytorch,https://github.com/pytorch/pytorch,99532,27620,18545,Python,2016-08-13T05:26:41Z,2026-04-29T23:16:24Z,main,123021,179750,COMMENTED,khushali9
immich-app,immich,immich-app/immich,https://github.com/immich-app/immich,99251,5515,695,TypeScript,2022-02-03T15:56:27Z,2026-04-29T20:10:00Z,main,11013,28113,COMMENTED,mertalev
neovim,neovim,neovim/neovim,https://github.com/neovim/neovim,99203,6854,1932,Vim Script,2014-01-31T13:39:22Z,2026-04-29T21:37:48Z,master,23952,18161,COMMENTED,smolck
mui,material-ui,mui/material-ui,https://github.com/mui/material-ui,98253,32650,1535,JavaScript,2014-08-18T19:11:54Z,2026-04-29T22:27:33Z,master,26519,48354,COMMENTED,siriwatknp
ant-design,ant-design,ant-design/ant-design,https://github.com/ant-design/ant-design,97894,54597,1364,TypeScript,2015-04-24T15:37:24Z,2026-04-29T13:51:44Z,master,22082,57813,COMMENTED,meet-student
fastapi,fastapi,fastapi/fastapi,https://github.com/fastapi/fastapi,97762,9172,179,Python,2018-12-08T08:21:47Z,2026-04-29T12:22:44Z,master,5670,15446,COMMENTED,YuriiMotov
nvbn,thefuck,nvbn/thefuck,https://github.com/nvbn/thefuck,96750,3934,423,Python,2015-04-08T15:08:04Z,2024-07-19T14:56:13Z,master,733,1558,CHANGES_REQUESTED,loqs
microsoft,Web-Dev-For-Beginners,microsoft/Web-Dev-For-Beginners,https://github.com/microsoft/Web-Dev-For-Beginners,95697,15428,48,JavaScript,2020-11-10T02:44:00Z,2026-04-24T22:07:07Z,main,1156,1656,COMMENTED,Kumar-Gowda-D
tailwindlabs,tailwindcss,tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,94803,5212,95,TypeScript,2017-10-06T14:59:14Z,2026-04-29T20:17:00Z,main,4245,19707,COMMENTED,silverwind
puppeteer,puppeteer,puppeteer/puppeteer,https://github.com/puppeteer/puppeteer,94218,9409,304,TypeScript,2017-05-09T22:16:13Z,2026-04-29T15:21:01Z,main,7381,14911,CHANGES_REQUESTED,OrKoN
iluwatar,java-design-patterns,iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,93954,27374,225,Java,2014-08-09T16:45:18Z,2026-03-20T21:23:33Z,master,2413,3466,COMMENTED,Sagar-S-R
florinpop17,app-ideas,florinpop17/app-ideas,https://github.com/florinpop17/app-ideas,93541,10412,605,,2019-02-25T18:36:56Z,2025-10-11T14:51:21Z,master,852,1117,COMMENTED,AnantAgrawal29
nvm-sh,nvm,nvm-sh/nvm,https://github.com/nvm-sh/nvm,93146,10137,378,Shell,2010-04-15T17:47:47Z,2026-04-24T18:05:27Z,master,1204,549,COMMENTED,nvt261991-sys
github,spec-kit,github/spec-kit,https://github.com/github/spec-kit,91757,7945,648,Python,2025-08-21T22:54:31Z,2026-04-29T22:05:09Z,main,952,2402,CHANGES_REQUESTED,mnriem
rasbt,LLMs-from-scratch,rasbt/LLMs-from-scratch,https://github.com/rasbt/LLMs-from-scratch,91719,14129,5,Jupyter Notebook,2023-07-23T18:15:57Z,2026-04-16T18:23:37Z,main,567,1014,CHANGES_REQUESTED,monikabielak12-lgtm
browser-use,browser-use,browser-use/browser-use,https://github.com/browser-use/browser-use,91213,10389,239,Python,2024-10-31T16:00:56Z,2026-04-26T16:59:07Z,main,2910,4743,COMMENTED,breezeFur
storybookjs,storybook,storybookjs/storybook,https://github.com/storybookjs/storybook,89822,10037,2257,TypeScript,2016-03-18T04:23:44Z,2026-04-29T20:09:12Z,next,15788,34654,APPROVED,Sidnioulz
oven-sh,bun,oven-sh/bun,https://github.com/oven-sh/bun,89445,4370,6666,Zig,2021-04-14T00:48:17Z,2026-04-29T22:57:46Z,main,12407,29947,COMMENTED,robobun
bitcoin,bitcoin,bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,88962,38938,695,C++,2010-12-19T15:16:43Z,2026-04-29T22:53:20Z,master,24218,31132,CHANGES_REQUESTED,l0rinc
msitarzewski,agency-agents,msitarzewski/agency-agents,https://github.com/msitarzewski/agency-agents,88899,14377,117,Shell,2025-10-13T12:12:29Z,2026-04-12T04:25:59Z,main,320,492,COMMENTED,amjad2161
gin-gonic,gin,gin-gonic/gin,https://github.com/gin-gonic/gin,88405,8589,681,Go,2014-06-16T23:57:25Z,2026-04-22T22:32:49Z,master,2168,4203,COMMENTED,takanuva15
gohugoio,hugo,gohugoio/hugo,https://github.com/gohugoio/hugo,87822,8252,243,Go,2013-07-04T15:26:26Z,2026-04-29T14:39:12Z,master,6324,14659,COMMENTED,bep
mermaid-js,mermaid,mermaid-js/mermaid,https://github.com/mermaid-js/mermaid,87728,8920,1659,TypeScript,2014-11-01T23:52:32Z,2026-04-29T05:13:12Z,develop,3515,7542,CHANGES_REQUESTED,ashishjain0512
microsoft,playwright,microsoft/playwright,https://github.com/microsoft/playwright,87644,5599,502,TypeScript,2019-11-15T18:32:42Z,2026-04-29T22:32:33Z,main,19462,40388,COMMENTED,dgozman
django,django,django/django,https://github.com/django/django,87352,33854,428,Python,2012-04-28T02:47:18Z,2026-04-29T20:42:29Z,main,21059,21042,COMMENTED,erosselli
opencv,opencv,opencv/opencv,https://github.com/opencv/opencv,87290,56544,2729,C++,2012-07-19T09:40:17Z,2026-04-29T08:45:02Z,4.x,17106,28905,APPROVED,dkurt
home-assistant,core,home-assistant/core,https://github.com/home-assistant/core,86865,37388,3708,Python,2013-09-17T07:29:48Z,2026-04-29T21:50:38Z,dev,98800,169325,CHANGES_REQUESTED,balloob
sveltejs,svelte,sveltejs/svelte,https://github.com/sveltejs/svelte,86444,4900,995,JavaScript,2016-11-20T18:13:05Z,2026-04-29T23:13:42Z,main,8117,18151,COMMENTED,Conduitry
3b1b,manim,3b1b/manim,https://github.com/3b1b/manim,86403,7247,488,Python,2015-03-22T18:50:58Z,2026-04-18T13:59:18Z,master,930,2454,APPROVED,TonyCrane
louislam,uptime-kuma,louislam/uptime-kuma,https://github.com/louislam/uptime-kuma,86050,7746,730,JavaScript,2021-07-03T01:02:42Z,2026-04-29T00:19:55Z,master,2485,7303,COMMENTED,CommanderStorm
modelcontextprotocol,servers,modelcontextprotocol/servers,https://github.com/modelcontextprotocol/servers,84781,10537,394,TypeScript,2024-11-19T01:10:17Z,2026-04-17T22:59:54Z,main,2973,3659,APPROVED,cliffhall
astral-sh,uv,astral-sh/uv,https://github.com/astral-sh/uv,84156,3010,2710,Rust,2023-10-02T20:24:11Z,2026-04-29T21:23:08Z,main,10271,8190,COMMENTED,EliteTK
syncthing,syncthing,syncthing/syncthing,https://github.com/syncthing/syncthing,83303,5134,384,Go,2013-11-26T09:48:21Z,2026-04-29T10:06:12Z,main,4682,10669,COMMENTED,acolomb
sherlock-project,sherlock,sherlock-project/sherlock,https://github.com/sherlock-project/sherlock,82704,9638,275,Python,2018-12-24T14:30:48Z,2026-04-29T06:05:29Z,master,1505,2623,CHANGES_REQUESTED,ppfeister
DopplerHQ,awesome-interview-questions,DopplerHQ/awesome-interview-questions,https://github.com/DopplerHQ/awesome-interview-questions,82234,9476,48,,2015-11-28T09:48:17Z,2024-07-29T14:21:23Z,master,232,315,APPROVED,Abdulraziq1
bregman-arie,devops-exercises,bregman-arie/devops-exercises,https://github.com/bregman-arie/devops-exercises,82180,19308,45,Python,2019-10-03T17:31:21Z,2025-12-27T14:22:30Z,master,435,10648,COMMENTED,andrzejsydor
tonsky,FiraCode,tonsky/FiraCode,https://github.com/tonsky/FiraCode,81518,3183,426,Clojure,2014-11-11T19:32:38Z,2026-04-13T22:52:26Z,master,207,1175,APPROVED,fizietechD
spring-projects,spring-boot,spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,80529,41897,474,Java,2012-10-19T15:02:57Z,2026-04-29T11:25:59Z,main,7499,50253,COMMENTED,hosea
zed-industries,zed,zed-industries/zed,https://github.com/zed-industries/zed,80366,8082,2856,Rust,2021-02-20T03:01:06Z,2026-04-29T17:21:23Z,main,28078,54620,CHANGES_REQUESTED,probably-neb
vitejs,vite,vitejs/vite,https://github.com/vitejs/vite,80302,8111,731,TypeScript,2020-04-21T05:03:57Z,2026-04-29T13:48:41Z,main,8288,22347,APPROVED,bluwy
localsend,localsend,localsend/localsend,https://github.com/localsend/localsend,80025,4272,938,Dart,2022-12-16T00:46:07Z,2026-04-06T15:16:42Z,main,859,3037,APPROVED,Heroine77
junegunn,fzf,junegunn/fzf,https://github.com/junegunn/fzf,79891,2795,314,Go,2013-10-23T16:04:23Z,2026-04-27T17:02:22Z,master,1169,4630,COMMENTED,sim590
infiniflow,ragflow,infiniflow/ragflow,https://github.com/infiniflow/ragflow,79263,8981,3001,Python,2023-12-12T06:13:13Z,2026-04-29T14:10:25Z,main,6877,13793,COMMENTED,xugangqiang
anuraghazra,github-readme-stats,anuraghazra/github-readme-stats,https://github.com/anuraghazra/github-readme-stats,79198,32677,279,JavaScript,2020-07-09T10:34:22Z,2026-03-31T00:50:07Z,master,2961,4834,APPROVED,Shion1305
hoppscotch,hoppscotch,hoppscotch/hoppscotch,https://github.com/hoppscotch/hoppscotch,79064,5841,777,TypeScript,2019-08-21T13:15:24Z,2026-04-29T11:41:39Z,main,3255,6236,COMMENTED,AaronFortG
doocs,advanced-java,doocs/advanced-java,https://github.com/doocs/advanced-java,78961,19234,0,Java,2018-10-06T11:38:30Z,2026-04-17T09:01:33Z,main,137,338,APPROVED,yanglbme
openai,codex,openai/codex,https://github.com/openai/codex,78900,11285,3361,Rust,2025-04-13T05:37:54Z,2026-04-29T23:16:57Z,main,8546,20278,APPROVED,xli-oai
netdata,netdata,netdata/netdata,https://github.com/netdata/netdata,78649,6422,304,C,2013-06-17T18:39:10Z,2026-04-29T22:30:16Z,master,13473,21902,APPROVED,Ferroin
vllm-project,vllm,vllm-project/vllm,https://github.com/vllm-project/vllm,78613,16257,4653,Python,2023-02-09T11:23:20Z,2026-04-29T23:16:40Z,main,25447,41015,COMMENTED,gau-nernst
Stirling-Tools,Stirling-PDF,Stirling-Tools/Stirling-PDF,https://github.com/Stirling-Tools/Stirling-PDF,77988,6821,415,TypeScript,2023-01-27T18:22:42Z,2026-04-29T14:49:14Z,main,4264,6062,APPROVED,Frooodle
karpathy,autoresearch,karpathy/autoresearch,https://github.com/karpathy/autoresearch,77873,11359,181,Python,2026-03-06T22:00:43Z,2026-03-26T00:07:37Z,master,338,500,COMMENTED,svlandeg
tensorflow,models,tensorflow/models,https://github.com/tensorflow/models,77666,45114,1286,Python,2016-02-05T01:15:20Z,2026-04-29T15:30:42Z,master,3884,11239,APPROVED,mihaimaruseac
nomic-ai,gpt4all,nomic-ai/gpt4all,https://github.com/nomic-ai/gpt4all,77374,8334,759,C++,2023-03-27T18:49:32Z,2025-05-27T20:05:19Z,main,1194,2404,CHANGES_REQUESTED,cebtenzzre
coder,code-server,coder/code-server,https://github.com/coder/code-server,77329,6638,142,TypeScript,2019-02-27T16:50:41Z,2026-04-27T17:59:20Z,main,2157,7768,COMMENTED,benz0li
jesseduffield,lazygit,jesseduffield/lazygit,https://github.com/jesseduffield/lazygit,77225,2797,953,Go,2018-05-19T00:53:06Z,2026-04-29T00:15:06Z,master,2389,5536,COMMENTED,stefanhaller
PaddlePaddle,PaddleOCR,PaddlePaddle/PaddleOCR,https://github.com/PaddlePaddle/PaddleOCR,76841,10341,226,Python,2020-05-08T10:38:16Z,2026-04-28T03:51:17Z,main,3951,17931,COMMENTED,Bobholamovic
elastic,elasticsearch,elastic/elasticsearch,https://github.com/elastic/elasticsearch,76611,25872,5690,Java,2010-02-08T13:20:56Z,2026-04-29T23:01:53Z,main,103152,147791,APPROVED,DiannaHohensee
FortAwesome,Font-Awesome,FortAwesome/Font-Awesome,https://github.com/FortAwesome/Font-Awesome,76524,12216,324,JavaScript,2012-02-17T14:19:43Z,2026-02-10T18:21:21Z,7.x,709,20881,COMMENTED,codeCraft-Ritik
nestjs,nest,nestjs/nest,https://github.com/nestjs/nest,75337,8294,39,TypeScript,2017-02-04T20:12:52Z,2026-04-29T22:52:41Z,master,10656,16325,APPROVED,Hardanish-Singh
awesomedata,awesome-public-datasets,awesomedata/awesome-public-datasets,https://github.com/awesomedata/awesome-public-datasets,74703,11358,148,,2014-11-20T06:20:50Z,2026-04-28T15:41:46Z,master,364,382,APPROVED,yasir-star
unionlabs,union,unionlabs/union,https://github.com/unionlabs/union,74114,3895,189,Rust,2023-05-16T22:33:39Z,2026-04-29T12:53:04Z,main,3501,5451,APPROVED,hussein-aitlahcen
