owner,repo,full_name,html_url,stargazers_count,forks_count,open_issues_count,language,created_at,pushed_at,default_branch,total_prs,review_probe_pr,review_probe_state,review_probe_human_reviewer
NationalSecurityAgency,ghidra,NationalSecurityAgency/ghidra,https://github.com/NationalSecurityAgency/ghidra,67848,7444,1869,Java,2019-03-01T03:27:48Z,2026-04-28T10:44:49Z,master,1696,8971,CHANGES_REQUESTED,ryanmkurtz
toeverything,AFFiNE,toeverything/AFFiNE,https://github.com/toeverything/AFFiNE,67840,4794,605,TypeScript,2022-07-31T18:45:21Z,2026-04-29T18:43:53Z,canary,10286,14885,COMMENTED,001-mak
chrislgarry,Apollo-11,chrislgarry/Apollo-11,https://github.com/chrislgarry/Apollo-11,67684,7677,130,Assembly,2014-04-03T15:45:02Z,2026-01-22T06:10:28Z,master,546,972,COMMENTED,afurm
juliangarnier,anime,juliangarnier/anime,https://github.com/juliangarnier/anime,67581,4535,100,JavaScript,2016-03-13T21:37:45Z,2026-04-29T16:23:46Z,master,204,1152,COMMENTED,juliangarnier
chartjs,Chart.js,chartjs/Chart.js,https://github.com/chartjs/Chart.js,67394,11953,555,JavaScript,2013-03-17T23:56:36Z,2026-04-16T11:49:43Z,master,3942,12238,DISMISSED,etimberg
OpenBB-finance,OpenBB,OpenBB-finance/OpenBB,https://github.com/OpenBB-finance/OpenBB,66736,6668,75,Python,2020-12-20T10:46:38Z,2026-04-29T23:22:31Z,develop,4906,7264,COMMENTED,deeleeramone
labmlai,annotated_deep_learning_paper_implementations,labmlai/annotated_deep_learning_paper_implementations,https://github.com/labmlai/annotated_deep_learning_paper_implementations,66461,6702,30,Python,2020-08-25T02:29:34Z,2026-01-22T04:26:00Z,master,130,265,APPROVED,SebFlatBeat
apache,echarts,apache/echarts,https://github.com/apache/echarts,66249,19815,1687,TypeScript,2013-04-03T03:18:59Z,2026-04-29T20:33:59Z,master,2145,21588,COMMENTED,Justin-ZS
scikit-learn,scikit-learn,scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,65949,26982,2062,Python,2010-08-17T09:43:38Z,2026-04-29T14:56:41Z,main,20606,33322,COMMENTED,StefanieSenger
webpack,webpack,webpack/webpack,https://github.com/webpack/webpack,65778,9358,204,JavaScript,2012-03-10T10:08:14Z,2026-04-29T19:10:36Z,main,8469,20888,COMMENTED,alexander-akait
sindresorhus,awesome-nodejs,sindresorhus/awesome-nodejs,https://github.com/sindresorhus/awesome-nodejs,65557,6216,26,,2014-07-11T13:35:34Z,2026-04-02T16:28:42Z,main,1187,1359,APPROVED,Aligod2000
TheAlgorithms,Java,TheAlgorithms/Java,https://github.com/TheAlgorithms/Java,65498,21095,32,Java,2016-07-16T10:21:02Z,2026-04-27T18:42:34Z,master,5813,7368,COMMENTED,YERRA-CHARAN
lydiahallie,javascript-questions,lydiahallie/javascript-questions,https://github.com/lydiahallie/javascript-questions,65315,9223,50,,2019-06-12T08:26:27Z,2024-08-04T16:08:40Z,master,544,836,APPROVED,iravinandan
kelseyhightower,nocode,kelseyhightower/nocode,https://github.com/kelseyhightower/nocode,65231,4822,4709,Dockerfile,2018-02-06T23:54:00Z,2024-08-07T03:19:12Z,master,673,5027,APPROVED,itsAtharv37
kdn251,interviews,kdn251/interviews,https://github.com/kdn251/interviews,64944,12907,118,Java,2017-02-14T18:19:25Z,2025-05-12T12:56:04Z,master,177,233,COMMENTED,ankitraj20616
localstack,localstack,localstack/localstack,https://github.com/localstack/localstack,64885,4701,0,Python,2016-10-25T23:48:03Z,2026-03-23T08:52:01Z,main,1796,13901,APPROVED,alexrashed
bytedance,deer-flow,bytedance/deer-flow,https://github.com/bytedance/deer-flow,64253,8429,805,Python,2025-05-07T02:50:19Z,2026-04-29T22:41:54Z,main,1454,2656,APPROVED,WillemJiang
keras-team,keras,keras-team/keras,https://github.com/keras-team/keras,64047,19761,247,Python,2015-03-28T00:35:42Z,2026-04-29T22:44:48Z,master,9235,22797,COMMENTED,pctablet505
gorhill,uBlock,gorhill/uBlock,https://github.com/gorhill/uBlock,64025,4073,17,JavaScript,2015-04-01T17:51:11Z,2026-04-29T18:36:29Z,master,385,3865,APPROVED,AminKaraniDSU
prometheus,prometheus,prometheus/prometheus,https://github.com/prometheus/prometheus,63842,10370,760,Go,2012-11-24T11:14:12Z,2026-04-29T15:31:08Z,main,11183,18289,CHANGES_REQUESTED,beorn7
alacritty,alacritty,alacritty/alacritty,https://github.com/alacritty/alacritty,63752,3435,337,Rust,2016-02-18T05:02:30Z,2026-04-28T01:21:51Z,master,2563,8934,CHANGES_REQUESTED,chrisduerr
pathwaycom,pathway,pathwaycom/pathway,https://github.com/pathwaycom/pathway,63378,1632,34,Python,2022-11-27T13:01:14Z,2026-04-29T05:24:53Z,main,51,209,COMMENTED,szymondudycz
unslothai,unsloth,unslothai/unsloth,https://github.com/unslothai/unsloth,63281,5537,1183,Python,2023-11-29T16:50:09Z,2026-04-29T11:15:35Z,main,1745,4443,COMMENTED,TimPietrusky
socketio,socket.io,socketio/socket.io,https://github.com/socketio/socket.io,63056,10146,206,TypeScript,2010-03-11T18:24:48Z,2026-04-27T11:35:34Z,main,908,4787,COMMENTED,codeCraft-Ritik
traefik,traefik,traefik/traefik,https://github.com/traefik/traefik,62924,5948,785,Go,2015-09-13T19:04:02Z,2026-04-29T14:45:05Z,master,6257,13074,APPROVED,juliens
nocodb,nocodb,nocodb/nocodb,https://github.com/nocodb/nocodb,62878,4751,692,TypeScript,2017-10-29T18:51:48Z,2026-04-29T18:45:59Z,develop,7241,13747,APPROVED,pranavxc
resume,resume.github.com,resume/resume.github.com,https://github.com/resume/resume.github.com,62832,1369,72,JavaScript,2011-02-06T13:39:55Z,2023-02-15T06:38:51Z,master,185,317,COMMENTED,Alistar36972888
ryanoasis,nerd-fonts,ryanoasis/nerd-fonts,https://github.com/ryanoasis/nerd-fonts,62762,3904,73,CSS,2014-12-05T04:31:17Z,2026-03-17T19:17:14Z,master,673,1965,COMMENTED,Finii
rust-lang,rustlings,rust-lang/rustlings,https://github.com/rust-lang/rustlings,62653,11181,78,Rust,2015-09-15T02:25:18Z,2026-04-25T12:14:15Z,main,1574,2382,CHANGES_REQUESTED,mo8it
LadybirdBrowser,ladybird,LadybirdBrowser/ladybird,https://github.com/LadybirdBrowser/ladybird,62604,2963,674,C++,2024-05-30T09:18:10Z,2026-04-29T22:25:35Z,master,7576,9170,COMMENTED,Calme1709
tldr-pages,tldr,tldr-pages/tldr,https://github.com/tldr-pages/tldr,62300,5206,281,Markdown,2013-12-08T07:34:43Z,2026-04-29T22:14:24Z,main,20275,22271,APPROVED,Managor
FuelLabs,sway,FuelLabs/sway,https://github.com/FuelLabs/sway,61736,5422,898,Rust,2021-01-19T20:54:33Z,2026-04-29T23:27:38Z,master,4178,7608,COMMENTED,ironcev
