owner,repo,full_name,html_url,stargazers_count,forks_count,open_issues_count,language,created_at,pushed_at,default_branch,total_prs,review_probe_pr,review_probe_state,review_probe_human_reviewer
slab,quill,slab/quill,https://github.com/slab/quill,47085,3631,645,TypeScript,2012-07-30T23:23:18Z,2025-07-25T06:09:23Z,main,808,4774,COMMENTED,RaedAbr
microsoft,AI-For-Beginners,microsoft/AI-For-Beginners,https://github.com/microsoft/AI-For-Beginners,47072,9668,0,Jupyter Notebook,2021-03-03T16:27:36Z,2026-04-24T10:39:56Z,main,432,616,APPROVED,leestott
pixijs,pixijs,pixijs/pixijs,https://github.com/pixijs/pixijs,47071,5009,324,TypeScript,2013-01-21T22:40:50Z,2026-04-24T07:34:07Z,dev,4796,11923,COMMENTED,bigtimebuddy
penpot,penpot,penpot/penpot,https://github.com/penpot/penpot,47042,2838,588,Clojure,2015-12-29T22:09:07Z,2026-04-29T21:44:58Z,develop,6651,9132,COMMENTED,niwinz
typescript-cheatsheets,react,typescript-cheatsheets/react,https://github.com/typescript-cheatsheets/react,47037,4295,1,JavaScript,2018-06-02T04:08:16Z,2026-04-28T17:02:37Z,main,518,814,APPROVED,filiptammergard
square,okhttp,square/okhttp,https://github.com/square/okhttp,46944,9275,106,Kotlin,2012-07-23T13:42:55Z,2026-04-27T14:09:04Z,master,4983,9395,COMMENTED,yschimke
discourse,discourse,discourse/discourse,https://github.com/discourse/discourse,46923,8897,142,Ruby,2013-01-12T00:25:55Z,2026-04-29T23:41:21Z,main,39037,39477,COMMENTED,renato
serverless,serverless,serverless/serverless,https://github.com/serverless/serverless,46918,5734,1241,JavaScript,2015-04-21T03:48:40Z,2026-04-29T14:59:48Z,main,5983,13506,CHANGES_REQUESTED,czubocha
tldraw,tldraw,tldraw/tldraw,https://github.com/tldraw/tldraw,46700,3178,344,TypeScript,2021-05-09T11:48:37Z,2026-04-29T18:39:35Z,main,5689,8708,APPROVED,kostyafarber
dypsilon,frontend-dev-bookmarks,dypsilon/frontend-dev-bookmarks,https://github.com/dypsilon/frontend-dev-bookmarks,46572,5148,123,,2013-06-22T13:23:55Z,2024-05-21T10:56:58Z,master,337,381,APPROVED,Luuhungbn97
acmesh-official,acme.sh,acmesh-official/acme.sh,https://github.com/acmesh-official/acme.sh,46442,5561,1391,Shell,2015-12-26T12:56:33Z,2026-04-28T20:27:29Z,master,2389,6829,COMMENTED,firestormisp
Asabeneh,30-Days-Of-JavaScript,Asabeneh/30-Days-Of-JavaScript,https://github.com/Asabeneh/30-Days-Of-JavaScript,46282,10446,369,JavaScript,2019-12-23T14:07:40Z,2025-12-06T11:12:48Z,master,673,624,APPROVED,Doctorine06
coreybutler,nvm-windows,coreybutler/nvm-windows,https://github.com/coreybutler/nvm-windows,46167,3803,80,Go,2014-09-20T16:37:28Z,2026-04-17T17:58:18Z,master,215,1338,COMMENTED,PetroPricesnearMe
slidevjs,slidev,slidevjs/slidev,https://github.com/slidevjs/slidev,46119,2037,189,TypeScript,2021-04-24T01:25:23Z,2026-04-29T16:45:47Z,main,963,2540,APPROVED,kermanx
bmad-code-org,BMAD-METHOD,bmad-code-org/BMAD-METHOD,https://github.com/bmad-code-org/BMAD-METHOD,46010,5435,52,JavaScript,2025-04-13T14:54:25Z,2026-04-29T03:53:49Z,main,1058,2332,COMMENTED,jrevillard
mudler,LocalAI,mudler/LocalAI,https://github.com/mudler/LocalAI,45931,4033,155,Go,2023-03-18T22:58:02Z,2026-04-29T22:52:35Z,master,7813,9527,COMMENTED,mudler
microsoft,monaco-editor,microsoft/monaco-editor,https://github.com/microsoft/monaco-editor,45923,4055,812,JavaScript,2016-06-07T16:56:31Z,2026-04-27T16:11:22Z,main,837,5308,APPROVED,rzhao271
KRTirtho,spotube,KRTirtho/spotube,https://github.com/KRTirtho/spotube,45892,2060,786,Dart,2021-02-14T03:17:58Z,2026-03-15T02:52:43Z,master,413,2919,APPROVED,KRTirtho
prisma,prisma,prisma/prisma,https://github.com/prisma/prisma,45858,2180,2580,TypeScript,2019-06-20T13:33:47Z,2026-04-29T15:27:11Z,main,8145,29472,COMMENTED,matingathani
bevyengine,bevy,bevyengine/bevy,https://github.com/bevyengine/bevy,45802,4532,3327,Rust,2020-01-18T21:13:55Z,2026-04-29T20:28:52Z,main,13793,24039,COMMENTED,alice-i-cecile
LeCoupa,awesome-cheatsheets,LeCoupa/awesome-cheatsheets,https://github.com/LeCoupa/awesome-cheatsheets,45733,6686,137,JavaScript,2017-11-09T02:47:15Z,2026-04-12T17:26:10Z,master,336,424,COMMENTED,codeCraft-Ritik
