file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/prestodb__presto/presto-main-base/src/test/java/com/facebook/presto/operator/GroupByHashYieldAssertion.java,com.facebook.presto.operator.GroupByHashYieldAssertion,class,17,23,6,17,11,1,0,37,6,0.75,0.0,0.0,4,3,2,2,0,0,2,0,0,0,2,2,0,2,0,0,2,0,6,99,4,2,3,0,2,10,23,26,18,24,3,0,1,0,132,17,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/prestodb__presto/presto-tests/src/test/java/com/facebook/presto/tests/TestRestSqlFunctionExecutor.java,com.facebook.presto.tests.TestRestSqlFunctionExecutor,class,31,33,2,31,36,1,0,53,45,0.6,0.0,0.0,15,2,10,5,0,0,10,0,0,0,2,1,1,1,0,0,1,0,12,194,9,1,0,0,0,48,34,37,0,39,2,0,1,2,119,1,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/prestodb__presto/presto-main-base/src/test/java/com/facebook/presto/operator/aggregation/TestTypedKeyValueHeap.java,com.facebook.presto.operator.aggregation.TestTypedKeyValueHeap,class,6,7,1,6,5,1,0,26,0,0.125,0.0,0.0,4,1,3,1,0,0,3,0,0,0,4,4,0,4,0,0,4,0,28,35,0,1,0,0,0,0,34,11,22,36,1,0,0,22,44,1,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/prestodb__presto/presto-main-base/src/main/java/com/facebook/presto/connector/system/ColumnPropertiesSystemTable.java,com.facebook.presto.connector.system.ColumnPropertiesSystemTable,class,4,6,2,4,1,2,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,9,1,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/prestodb__presto/presto-main-base/src/main/java/com/facebook/presto/operator/PipelineContext.java,com.facebook.presto.operator.PipelineContext,class,25,30,5,25,55,1,0,117,201,0.9009806,0.0,0.0,34,1,32,2,0,0,32,0,0,2,30,0,0,30,0,0,30,0,14,335,28,8,5,0,0,8,13,79,3,71,2,0,1,4,133,1,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/prestodb__presto/presto-main-base/src/test/java/com/facebook/presto/operator/aggregation/TestRealRegrAvgxAggregation.java,com.facebook.presto.operator.aggregation.TestRealRegrAvgxAggregation,class,2,2,0,2,7,3,0,4,3,0.0,0.0,0.0,3,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,24,3,2,2,0,1,2,6,7,4,4,1,0,0,0,26,1,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/prestodb__presto/presto-spark-base/src/main/java/com/facebook/presto/spark/PrestoSparkLocalMetadataStorage.java,com.facebook.presto.spark.PrestoSparkLocalMetadataStorage,class,2,3,1,2,4,1,0,8,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,23,1,0,0,2,0,3,0,2,0,2,1,0,0,0,27,1,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/prestodb__presto/presto-spark-base/src/main/java/com/facebook/presto/spark/execution/http/OkHttpResponseHandler.java,com.facebook.presto.spark.execution.http.OkHttpResponseHandler,interface,4,10,6,4,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/prestodb__presto/presto-thrift-api/src/main/java/com/facebook/presto/thrift/api/datatypes/PrestoThriftHyperLogLog.java,com.facebook.presto.thrift.api.datatypes.PrestoThriftHyperLogLog,class,13,15,2,13,13,1,0,16,0,0.2,0.0,0.0,10,1,10,0,0,0,10,0,0,0,1,0,0,1,0,0,1,0,2,41,11,0,3,0,0,5,3,2,0,5,1,0,0,1,88,17,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/prestodb__presto/presto-main-base/src/main/java/com/facebook/presto/sql/planner/optimizations/ReplicateSemiJoinInDelete.java,com.facebook.presto.sql.planner.optimizations.ReplicateSemiJoinInDelete,class,10,11,1,10,2,4,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,33,2,0,0,0,0,1,0,2,0,2,1,0,1,0,30,1,0
