has_ai_policy,n_repositories,prs_merge_rate_mean,prs_merge_rate_median,prs_closed_no_merge_rate_mean,prs_closed_no_merge_rate_median,median_pr_cycle_hours_mean,median_pr_cycle_hours_median,mean_pr_cycle_hours_mean,mean_pr_cycle_hours_median,median_issue_first_response_hours_mean,median_issue_first_response_hours_median,median_pr_first_response_hours_mean,median_pr_first_response_hours_median,median_pr_first_review_hours_mean,median_pr_first_review_hours_median,avg_pr_commits_mean,avg_pr_commits_median,avg_pr_reviews_mean,avg_pr_reviews_median,avg_reviews_until_approval_mean,avg_reviews_until_approval_median
Without AI Policy,874,63.506,69.608,29.746,25.155,152.241,20.45,803.617,334.359,154.948,18.567,150.399,4.039,420.43,11.682,6.728,3.025,1.006,0.589,1.925,1.429
With AI Policy,124,68.9,75.267,26.415,21.472,52.854,16.927,618.296,214.923,85.5,11.616,96.821,2.681,227.125,6.216,7.389,3.918,1.718,1.314,2.287,1.919
