repo_name,link,stars,most_recent_activity,age_days,has_ai_policy,has_ai_policy_label,age_years,language
shanraisshan/claude-code-best-practice,https://github.com/shanraisshan/claude-code-best-practice,48286,2026-04-26T12:19:52Z,177,Without AI Policy,Sem politica de IA,0.4849315068493151,Linguagem desconhecida
hashicorp/terraform,https://github.com/hashicorp/terraform,48260,2026-04-24T21:57:29Z,4427,With AI Policy,Com politica de IA,12.128767123287671,Go
skylot/jadx,https://github.com/skylot/jadx,48254,2026-04-25T20:10:57Z,4787,Without AI Policy,Sem politica de IA,13.115068493150686,Java
x64dbg/x64dbg,https://github.com/x64dbg/x64dbg,48209,2026-04-26T10:53:13Z,4033,Without AI Policy,Sem politica de IA,11.04931506849315,C++
lllyasviel/Fooocus,https://github.com/lllyasviel/Fooocus,48191,2025-12-01T19:17:07Z,991,Without AI Policy,Sem politica de IA,2.7150684931506848,Python
tw93/Pake,https://github.com/tw93/Pake,48169,2026-04-22T03:45:07Z,1290,Without AI Policy,Sem politica de IA,3.5342465753424657,Rust
type-challenges/type-challenges,https://github.com/type-challenges/type-challenges,48005,2026-04-23T16:39:41Z,2103,Without AI Policy,Sem politica de IA,5.761643835616439,TypeScript
bigskysoftware/htmx,https://github.com/bigskysoftware/htmx,47899,2026-04-26T03:01:00Z,2204,Without AI Policy,Sem politica de IA,6.038356164383561,JavaScript
Homebrew/brew,https://github.com/Homebrew/brew,47726,2026-04-27T02:30:57Z,3703,With AI Policy,Com politica de IA,10.145205479452056,Ruby
gogs/gogs,https://github.com/gogs/gogs,47495,2026-04-24T02:11:24Z,4457,Without AI Policy,Sem politica de IA,12.210958904109589,Go
GokuMohandas/Made-With-ML,https://github.com/GokuMohandas/Made-With-ML,47416,2026-03-04T23:44:21Z,2729,Without AI Policy,Sem politica de IA,7.476712328767123,Jupyter Notebook
astral-sh/ruff,https://github.com/astral-sh/ruff,47263,2026-04-27T02:36:29Z,1356,Without AI Policy,Sem politica de IA,3.7150684931506848,Rust
JuliusBrussee/caveman,https://github.com/JuliusBrussee/caveman,47230,2026-04-18T10:11:39Z,22,Without AI Policy,Sem politica de IA,0.06027397260273973,Linguagem desconhecida
ClickHouse/ClickHouse,https://github.com/ClickHouse/ClickHouse,47082,2026-04-27T02:40:48Z,3615,Without AI Policy,Sem politica de IA,9.904109589041095,C++
slab/quill,https://github.com/slab/quill,47081,2025-07-25T06:09:23Z,5018,Without AI Policy,Sem politica de IA,13.747945205479452,TypeScript
typescript-cheatsheets/react,https://github.com/typescript-cheatsheets/react,47035,2026-02-13T07:17:32Z,2885,Without AI Policy,Sem politica de IA,7.904109589041096,JavaScript
metabase/metabase,https://github.com/metabase/metabase,47035,2026-04-27T02:29:15Z,4101,Without AI Policy,Sem politica de IA,11.235616438356164,Clojure
pixijs/pixijs,https://github.com/pixijs/pixijs,47020,2026-04-24T07:34:07Z,4843,Without AI Policy,Sem politica de IA,13.26849315068493,TypeScript
microsoft/AI-For-Beginners,https://github.com/microsoft/AI-For-Beginners,46975,2026-04-24T10:39:56Z,1880,Without AI Policy,Sem politica de IA,5.1506849315068495,Jupyter Notebook
square/okhttp,https://github.com/square/okhttp,46937,2026-04-26T12:39:02Z,5025,Without AI Policy,Sem politica de IA,13.767123287671232,Kotlin
serverless/serverless,https://github.com/serverless/serverless,46920,2026-04-22T14:41:03Z,4023,Without AI Policy,Sem politica de IA,11.021917808219179,JavaScript
oobabooga/textgen,https://github.com/oobabooga/textgen,46869,2026-04-27T01:59:29Z,1222,Without AI Policy,Sem politica de IA,3.347945205479452,Linguagem desconhecida
v2ray/v2ray-core,https://github.com/v2ray/v2ray-core,46850,2026-04-24T03:23:18Z,3887,Without AI Policy,Sem politica de IA,10.64931506849315,Go
tldraw/tldraw,https://github.com/tldraw/tldraw,46563,2026-04-27T00:26:00Z,1813,Without AI Policy,Sem politica de IA,4.967123287671233,TypeScript
acmesh-official/acme.sh,https://github.com/acmesh-official/acme.sh,46404,2026-04-26T12:29:40Z,3774,Without AI Policy,Sem politica de IA,10.33972602739726,Shell
Asabeneh/30-Days-Of-JavaScript,https://github.com/Asabeneh/30-Days-Of-JavaScript,46277,2025-12-06T11:12:48Z,2316,Without AI Policy,Sem politica de IA,6.345205479452055,JavaScript
penpot/penpot,https://github.com/penpot/penpot,46257,2026-04-26T22:27:30Z,3771,Without AI Policy,Sem politica de IA,10.331506849315069,Clojure
gedoor/legado,https://github.com/gedoor/legado,46198,2026-04-24T11:00:23Z,2531,Without AI Policy,Sem politica de IA,6.934246575342466,Kotlin
coreybutler/nvm-windows,https://github.com/coreybutler/nvm-windows,46112,2026-04-17T17:58:18Z,4236,Without AI Policy,Sem politica de IA,11.605479452054794,Go
slidevjs/slidev,https://github.com/slidevjs/slidev,46034,2026-04-23T03:31:40Z,1829,Without AI Policy,Sem politica de IA,5.010958904109589,TypeScript
jeecgboot/JeecgBoot,https://github.com/jeecgboot/JeecgBoot,45985,2026-04-25T09:09:49Z,2708,Without AI Policy,Sem politica de IA,7.419178082191781,Java
microsoft/monaco-editor,https://github.com/microsoft/monaco-editor,45912,2026-04-24T23:28:14Z,3610,Without AI Policy,Sem politica de IA,9.89041095890411,JavaScript
mudler/LocalAI,https://github.com/mudler/LocalAI,45851,2026-04-26T23:04:35Z,1135,With AI Policy,Com politica de IA,3.1095890410958904,Go
prisma/prisma,https://github.com/prisma/prisma,45843,2026-04-24T12:34:52Z,2502,Without AI Policy,Sem politica de IA,6.854794520547945,TypeScript
KRTirtho/spotube,https://github.com/KRTirtho/spotube,45838,2026-03-15T02:52:43Z,1897,Without AI Policy,Sem politica de IA,5.197260273972603,Dart
bevyengine/bevy,https://github.com/bevyengine/bevy,45760,2026-04-27T02:30:22Z,2290,With AI Policy,Com politica de IA,6.273972602739726,Rust
bmad-code-org/BMAD-METHOD,https://github.com/bmad-code-org/BMAD-METHOD,45743,2026-04-26T22:37:57Z,378,With AI Policy,Com politica de IA,1.0356164383561643,JavaScript
LeCoupa/awesome-cheatsheets,https://github.com/LeCoupa/awesome-cheatsheets,45707,2026-04-12T17:26:10Z,3090,Without AI Policy,Sem politica de IA,8.465753424657533,JavaScript
android/architecture-samples,https://github.com/android/architecture-samples,45649,2026-04-23T09:41:48Z,3733,Without AI Policy,Sem politica de IA,10.227397260273973,Kotlin
chenglou/pretext,https://github.com/chenglou/pretext,45424,2026-04-22T17:16:19Z,50,Without AI Policy,Sem politica de IA,0.136986301369863,Linguagem desconhecida
google/zx,https://github.com/google/zx,45424,2026-04-20T06:14:23Z,1817,With AI Policy,Com politica de IA,4.978082191780822,JavaScript
Raphire/Win11Debloat,https://github.com/Raphire/Win11Debloat,45405,2026-04-26T18:31:59Z,2007,Without AI Policy,Sem politica de IA,5.498630136986302,PowerShell
ColorlibHQ/AdminLTE,https://github.com/ColorlibHQ/AdminLTE,45370,2026-04-21T21:59:51Z,4505,Without AI Policy,Sem politica de IA,12.342465753424657,CSS
jestjs/jest,https://github.com/jestjs/jest,45339,2026-04-20T04:51:38Z,4521,Without AI Policy,Sem politica de IA,12.386301369863014,TypeScript
twentyhq/twenty,https://github.com/twentyhq/twenty,45228,2026-04-26T19:58:46Z,1242,Without AI Policy,Sem politica de IA,3.4027397260273973,TypeScript
RocketChat/Rocket.Chat,https://github.com/RocketChat/Rocket.Chat,45201,2026-04-26T16:22:58Z,3995,Without AI Policy,Sem politica de IA,10.945205479452055,TypeScript
apache/airflow,https://github.com/apache/airflow,45200,2026-04-27T02:14:32Z,4031,With AI Policy,Com politica de IA,11.043835616438356,Python
docker/awesome-compose,https://github.com/docker/awesome-compose,45009,2026-04-22T00:56:40Z,2264,Without AI Policy,Sem politica de IA,6.2027397260273975,HTML
Leaflet/Leaflet,https://github.com/Leaflet/Leaflet,44928,2026-04-20T14:49:55Z,5695,Without AI Policy,Sem politica de IA,15.602739726027398,JavaScript
isocpp/CppCoreGuidelines,https://github.com/isocpp/CppCoreGuidelines,44925,2026-04-16T19:07:57Z,3903,Without AI Policy,Sem politica de IA,10.693150684931506,CSS
tmux/tmux,https://github.com/tmux/tmux,44894,2026-04-26T20:19:19Z,3980,Without AI Policy,Sem politica de IA,10.904109589041095,C
upscayl/upscayl,https://github.com/upscayl/upscayl,44883,2026-03-27T16:33:02Z,1366,Without AI Policy,Sem politica de IA,3.7424657534246575,TypeScript
BerriAI/litellm,https://github.com/BerriAI/litellm,44809,2026-04-26T06:13:41Z,1005,Without AI Policy,Sem politica de IA,2.7534246575342465,Python
meteor/meteor,https://github.com/meteor/meteor,44766,2026-04-25T06:12:30Z,5212,Without AI Policy,Sem politica de IA,14.27945205479452,JavaScript
remotion-dev/remotion,https://github.com/remotion-dev/remotion,44734,2026-04-26T20:59:30Z,2133,Without AI Policy,Sem politica de IA,5.843835616438356,TypeScript
react-hook-form/react-hook-form,https://github.com/react-hook-form/react-hook-form,44681,2026-04-27T00:28:42Z,2609,Without AI Policy,Sem politica de IA,7.147945205479452,TypeScript
grpc/grpc,https://github.com/grpc/grpc,44675,2026-04-25T04:35:36Z,4157,Without AI Policy,Sem politica de IA,11.389041095890411,C++
pyenv/pyenv,https://github.com/pyenv/pyenv,44668,2026-04-23T21:34:40Z,4986,Without AI Policy,Sem politica de IA,13.66027397260274,Shell
iina/iina,https://github.com/iina/iina,44602,2026-04-27T02:19:40Z,3415,Without AI Policy,Sem politica de IA,9.356164383561644,Swift
vercel/hyper,https://github.com/vercel/hyper,44585,2026-04-20T12:29:35Z,3586,Without AI Policy,Sem politica de IA,9.824657534246576,TypeScript
sudheerj/reactjs-interview-questions,https://github.com/sudheerj/reactjs-interview-questions,44529,2026-04-15T07:27:32Z,2887,Without AI Policy,Sem politica de IA,7.909589041095891,JavaScript
CherryHQ/cherry-studio,https://github.com/CherryHQ/cherry-studio,44485,2026-04-27T01:26:05Z,703,Without AI Policy,Sem politica de IA,1.926027397260274,TypeScript
9001/copyparty,https://github.com/9001/copyparty,44479,2026-04-24T22:42:51Z,2527,Without AI Policy,Sem politica de IA,6.923287671232877,Python
streamlit/streamlit,https://github.com/streamlit/streamlit,44368,2026-04-26T08:39:45Z,2438,With AI Policy,Com politica de IA,6.67945205479452,Python
SimplifyJobs/Summer2026-Internships,https://github.com/SimplifyJobs/Summer2026-Internships,44312,2026-04-27T02:31:14Z,2164,Without AI Policy,Sem politica de IA,5.928767123287671,Python
zhongyang219/TrafficMonitor,https://github.com/zhongyang219/TrafficMonitor,44214,2026-04-06T11:26:46Z,3192,Without AI Policy,Sem politica de IA,8.745205479452055,C++
exo-explore/exo,https://github.com/exo-explore/exo,44127,2026-04-27T00:27:54Z,671,Without AI Policy,Sem politica de IA,1.8383561643835618,Python
helix-editor/helix,https://github.com/helix-editor/helix,44126,2026-04-24T02:57:27Z,2155,Without AI Policy,Sem politica de IA,5.904109589041096,Rust
cli/cli,https://github.com/cli/cli,44078,2026-04-24T13:54:31Z,2397,Without AI Policy,Sem politica de IA,6.567123287671233,Go
parcel-bundler/parcel,https://github.com/parcel-bundler/parcel,44034,2026-04-26T20:48:06Z,3184,Without AI Policy,Sem politica de IA,8.723287671232876,JavaScript
milvus-io/milvus,https://github.com/milvus-io/milvus,43996,2026-04-26T12:55:46Z,2414,Without AI Policy,Sem politica de IA,6.6136986301369864,Go
Aider-AI/aider,https://github.com/Aider-AI/aider,43982,2026-04-25T16:44:33Z,1083,With AI Policy,Com politica de IA,2.967123287671233,Python
streamich/react-use,https://github.com/streamich/react-use,43973,2026-01-20T12:19:23Z,2738,Without AI Policy,Sem politica de IA,7.501369863013698,TypeScript
yangshun/front-end-interview-handbook,https://github.com/yangshun/front-end-interview-handbook,43943,2026-04-24T10:00:07Z,3025,Without AI Policy,Sem politica de IA,8.287671232876713,MDX
AykutSarac/jsoncrack.com,https://github.com/AykutSarac/jsoncrack.com,43909,2026-04-22T20:59:11Z,1547,Without AI Policy,Sem politica de IA,4.238356164383561,TypeScript
square/retrofit,https://github.com/square/retrofit,43904,2026-04-21T23:02:43Z,5711,Without AI Policy,Sem politica de IA,15.646575342465754,HTML
babel/babel,https://github.com/babel/babel,43895,2026-04-26T19:00:02Z,4228,Without AI Policy,Sem politica de IA,11.583561643835617,TypeScript
spf13/cobra,https://github.com/spf13/cobra,43774,2026-04-25T23:07:41Z,4618,Without AI Policy,Sem politica de IA,12.652054794520549,Go
zhayujie/CowAgent,https://github.com/zhayujie/CowAgent,43747,2026-04-26T09:11:06Z,1358,Without AI Policy,Sem politica de IA,3.7205479452054795,Linguagem desconhecida
NaiboWang/EasySpider,https://github.com/NaiboWang/EasySpider,43737,2026-04-22T13:59:44Z,2108,Without AI Policy,Sem politica de IA,5.7753424657534245,JavaScript
jgm/pandoc,https://github.com/jgm/pandoc,43714,2026-04-24T18:35:12Z,5881,Without AI Policy,Sem politica de IA,16.112328767123287,Haskell
getsentry/sentry,https://github.com/getsentry/sentry,43700,2026-04-27T02:36:33Z,5718,Without AI Policy,Sem politica de IA,15.665753424657535,Python
hiroi-sora/Umi-OCR,https://github.com/hiroi-sora/Umi-OCR,43687,2025-11-20T14:58:13Z,1490,Without AI Policy,Sem politica de IA,4.082191780821918,Python
DIYgod/RSSHub,https://github.com/DIYgod/RSSHub,43652,2026-04-27T02:36:46Z,2946,Without AI Policy,Sem politica de IA,8.07123287671233,TypeScript
bannedbook/fanqiang,https://github.com/bannedbook/fanqiang,43384,2026-04-26T05:31:41Z,4121,Without AI Policy,Sem politica de IA,11.29041095890411,Kotlin
aaif-goose/goose,https://github.com/aaif-goose/goose,43330,2026-04-27T02:33:49Z,611,With AI Policy,Com politica de IA,1.673972602739726,Linguagem desconhecida
usebruno/bruno,https://github.com/usebruno/bruno,43291,2026-04-24T09:54:46Z,1307,Without AI Policy,Sem politica de IA,3.580821917808219,JavaScript
mitmproxy/mitmproxy,https://github.com/mitmproxy/mitmproxy,43275,2026-04-25T09:24:59Z,5913,Without AI Policy,Sem politica de IA,16.2,Python
Kong/kong,https://github.com/Kong/kong,43268,2026-03-27T17:42:51Z,4178,Without AI Policy,Sem politica de IA,11.446575342465753,Lua
FuelLabs/fuels-rs,https://github.com/FuelLabs/fuels-rs,43240,2026-04-06T18:57:03Z,1638,Without AI Policy,Sem politica de IA,4.487671232876712,Rust
FuelLabs/fuels-ts,https://github.com/FuelLabs/fuels-ts,43214,2026-03-27T18:21:29Z,1696,Without AI Policy,Sem politica de IA,4.646575342465753,TypeScript
apache/spark,https://github.com/apache/spark,43198,2026-04-27T02:29:41Z,4443,Without AI Policy,Sem politica de IA,12.172602739726027,Scala
files-community/Files,https://github.com/files-community/Files,43174,2026-04-26T22:16:44Z,2669,Without AI Policy,Sem politica de IA,7.3123287671232875,C#
Unitech/pm2,https://github.com/Unitech/pm2,43095,2026-03-27T13:30:12Z,4723,Without AI Policy,Sem politica de IA,12.93972602739726,JavaScript
Fission-AI/OpenSpec,https://github.com/Fission-AI/OpenSpec,43095,2026-04-24T07:41:01Z,264,Without AI Policy,Sem politica de IA,0.7232876712328767,Linguagem desconhecida
Light-City/CPlusPlusThings,https://github.com/Light-City/CPlusPlusThings,43095,2026-03-12T15:48:05Z,2478,Without AI Policy,Sem politica de IA,6.789041095890411,C++
siyuan-note/siyuan,https://github.com/siyuan-note/siyuan,42998,2026-04-27T01:32:21Z,2065,Without AI Policy,Sem politica de IA,5.657534246575342,TypeScript
fastapi/full-stack-fastapi-template,https://github.com/fastapi/full-stack-fastapi-template,42882,2026-04-21T23:05:05Z,2619,With AI Policy,Com politica de IA,7.175342465753425,TypeScript
ziglang/zig,https://github.com/ziglang/zig,42860,2025-11-27T01:42:59Z,3917,Without AI Policy,Sem politica de IA,10.73150684931507,Zig
faif/python-patterns,https://github.com/faif/python-patterns,42718,2026-03-13T17:04:16Z,5072,Without AI Policy,Sem politica de IA,13.895890410958904,Python
sharkdp/fd,https://github.com/sharkdp/fd,42717,2026-04-24T07:07:56Z,3274,With AI Policy,Com politica de IA,8.96986301369863,Rust
juspay/hyperswitch,https://github.com/juspay/hyperswitch,42536,2026-04-27T00:56:05Z,1287,Without AI Policy,Sem politica de IA,3.526027397260274,Rust
colinhacks/zod,https://github.com/colinhacks/zod,42507,2026-02-15T14:20:41Z,2241,Without AI Policy,Sem politica de IA,6.13972602739726,TypeScript
gradio-app/gradio,https://github.com/gradio-app/gradio,42441,2026-04-23T04:05:59Z,2685,With AI Policy,Com politica de IA,7.3561643835616435,Python
logseq/logseq,https://github.com/logseq/logseq,42438,2026-04-26T18:52:24Z,2165,Without AI Policy,Sem politica de IA,5.931506849315069,Clojure
Alamofire/Alamofire,https://github.com/Alamofire/Alamofire,42374,2026-04-26T21:46:18Z,4287,With AI Policy,Com politica de IA,11.745205479452055,Swift
ray-project/ray,https://github.com/ray-project/ray,42318,2026-04-27T01:52:32Z,3470,Without AI Policy,Sem politica de IA,9.506849315068493,Python
mingrammer/diagrams,https://github.com/mingrammer/diagrams,42218,2026-04-13T08:07:16Z,2275,Without AI Policy,Sem politica de IA,6.232876712328767,Python
deepspeedai/DeepSpeed,https://github.com/deepspeedai/DeepSpeed,42196,2026-04-24T06:07:37Z,2285,Without AI Policy,Sem politica de IA,6.260273972602739,Python
janhq/jan,https://github.com/janhq/jan,42189,2026-04-24T08:10:37Z,984,Without AI Policy,Sem politica de IA,2.695890410958904,TypeScript
calcom/cal.diy,https://github.com/calcom/cal.diy,42144,2026-04-26T19:19:24Z,1861,Without AI Policy,Sem politica de IA,5.098630136986301,Linguagem desconhecida
microsoft/VibeVoice,https://github.com/microsoft/VibeVoice,42082,2026-04-24T17:12:20Z,244,Without AI Policy,Sem politica de IA,0.6684931506849315,Linguagem desconhecida
ccxt/ccxt,https://github.com/ccxt/ccxt,42080,2026-04-26T12:49:00Z,3269,Without AI Policy,Sem politica de IA,8.956164383561644,Python
payloadcms/payload,https://github.com/payloadcms/payload,42042,2026-04-27T02:23:59Z,1937,Without AI Policy,Sem politica de IA,5.306849315068493,TypeScript
charmbracelet/bubbletea,https://github.com/charmbracelet/bubbletea,41874,2026-04-24T23:27:04Z,2298,Without AI Policy,Sem politica de IA,6.295890410958904,Go
nolimits4web/swiper,https://github.com/nolimits4web/swiper,41839,2026-04-24T18:33:44Z,5156,Without AI Policy,Sem politica de IA,14.126027397260273,JavaScript
zen-browser/desktop,https://github.com/zen-browser/desktop,41673,2026-04-26T22:32:39Z,760,Without AI Policy,Sem politica de IA,2.0821917808219177,JavaScript
anthropics/claude-cookbooks,https://github.com/anthropics/claude-cookbooks,41628,2026-04-25T22:49:57Z,985,Without AI Policy,Sem politica de IA,2.6986301369863015,Jupyter Notebook
curl/curl,https://github.com/curl/curl,41568,2026-04-26T14:42:42Z,5883,Without AI Policy,Sem politica de IA,16.117808219178084,C
apache/dubbo,https://github.com/apache/dubbo,41564,2026-04-23T10:47:59Z,5059,Without AI Policy,Sem politica de IA,13.860273972602739,Java
yarnpkg/yarn,https://github.com/yarnpkg/yarn,41514,2026-04-24T16:15:08Z,3750,Without AI Policy,Sem politica de IA,10.273972602739725,JavaScript
dcloudio/uni-app,https://github.com/dcloudio/uni-app,41505,2026-04-25T13:59:21Z,2845,Without AI Policy,Sem politica de IA,7.794520547945205,JavaScript
psf/black,https://github.com/psf/black,41480,2026-04-24T20:50:21Z,2965,Without AI Policy,Sem politica de IA,8.123287671232877,Python
fastlane/fastlane,https://github.com/fastlane/fastlane,41439,2026-04-25T14:00:53Z,4163,Without AI Policy,Sem politica de IA,11.405479452054795,Ruby
hpcaitech/ColossalAI,https://github.com/hpcaitech/ColossalAI,41378,2026-04-13T17:31:24Z,1641,Without AI Policy,Sem politica de IA,4.495890410958904,Python
hexojs/hexo,https://github.com/hexojs/hexo,41361,2026-04-23T23:53:24Z,4963,Without AI Policy,Sem politica de IA,13.597260273972603,TypeScript
hesreallyhim/awesome-claude-code,https://github.com/hesreallyhim/awesome-claude-code,41316,2026-04-27T01:02:40Z,372,Without AI Policy,Sem politica de IA,1.0191780821917809,Linguagem desconhecida
microsoft/qlib,https://github.com/microsoft/qlib,41284,2026-04-22T07:08:01Z,2081,Without AI Policy,Sem politica de IA,5.701369863013698,Python
chubin/cheat.sh,https://github.com/chubin/cheat.sh,41280,2025-12-23T18:48:24Z,3276,Without AI Policy,Sem politica de IA,8.975342465753425,Python
nwjs/nw.js,https://github.com/nwjs/nw.js,41242,2026-04-26T23:30:04Z,5226,Without AI Policy,Sem politica de IA,14.317808219178081,JavaScript
DataExpert-io/data-engineer-handbook,https://github.com/DataExpert-io/data-engineer-handbook,41098,2026-04-02T23:14:21Z,889,Without AI Policy,Sem politica de IA,2.4356164383561643,Jupyter Notebook
