has_ai_policy_label,n_repositories,median_stars,mean_stars,median_age_days,mean_age_days
Com politica de IA,125,43330.0,58166.8,2479.0,2528.152
Sem politica de IA,875,39057.0,51523.114285714284,2841.0,2819.8948571428573
