file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/branchs/live-event-bus-v2/liveeventbus-v2/src/main/java/com/jeremyliao/liveeventbus/liveevent/LiveEvent.java,com.jeremyliao.liveeventbus.liveevent.LiveEvent$ObserverWrapper,detachObserver/0,false,418,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/branchs/live-event-bus-v2/liveeventbus-v2/src/main/java/com/jeremyliao/liveeventbus/liveevent/LiveEvent.java,com.jeremyliao.liveeventbus.liveevent.LiveEvent$ObserverWrapper,ObserverWrapper/1[com.jeremyliao.liveeventbus.liveevent.Observer<T>],true,408,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/branchs/live-event-bus-v2/liveeventbus-v2/src/main/java/com/jeremyliao/liveeventbus/liveevent/LiveEvent.java,com.jeremyliao.liveeventbus.liveevent.LiveEvent$ObserverWrapper,shouldBeActive/0,false,412,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1024,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/branchs/live-event-bus-v2/liveeventbus-v2/src/main/java/com/jeremyliao/liveeventbus/liveevent/LiveEvent.java,com.jeremyliao.liveeventbus.liveevent.LiveEvent$ObserverWrapper,isAttachedTo/1[com.jeremyliao.liveeventbus.liveevent.LifecycleOwner],false,414,1,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/branchs/live-event-bus-x/app/src/androidTest/java/com/jeremyliao/lebapp/LiveEventBusTest.java,LiveEventBusTest$Anonymous23$Anonymous24,onChanged/1[String],false,366,2,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/live-event-bus/liveeventbus/src/main/java/com/jeremyliao/liveeventbus/logger/DefaultLogger.java,com.jeremyliao.liveeventbus.logger.DefaultLogger,"log/2[java.util.logging.Level,java.lang.String]",false,15,0,0,0,0,6,5,17,0,0,2,5,0,0,0,5,0,0,0,0,0,0,1,0,0,0,4,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/live-event-bus/liveeventbus/src/main/java/com/jeremyliao/liveeventbus/logger/DefaultLogger.java,com.jeremyliao.liveeventbus.logger.DefaultLogger,"log/3[java.util.logging.Level,java.lang.String,java.lang.Throwable]",false,30,0,0,0,0,6,5,17,0,0,3,5,0,0,0,5,0,0,0,0,0,0,1,0,0,0,4,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/live-event-bus/liveeventbus/src/main/java/com/jeremyliao/liveeventbus/core/LiveEventBusCore.java,com.jeremyliao.liveeventbus.core.LiveEventBusCore$LiveEvent$PostLifeValueTask,"PostLifeValueTask/2[java.lang.Object,com.jeremyliao.liveeventbus.core.LifecycleOwner]",true,497,3,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/live-event-bus/liveeventbus/src/main/java/com/jeremyliao/liveeventbus/core/LiveEventBusCore.java,com.jeremyliao.liveeventbus.core.LiveEventBusCore$LiveEvent$PostLifeValueTask,run/0,false,503,2,1,0,1,3,4,7,0,0,0,4,0,0,0,1,0,0,0,0,0,0,2,0,0,0,8,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/branchs/live-event-bus-x/app/src/androidTest/java/com/jeremyliao/lebapp/LiveEventBusTest.java,LiveEventBusTest$Anonymous25$Anonymous26,onChanged/1[Integer],false,391,2,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
