repo,stars,age_days,age_years,merged_prs,releases,days_since_update,language,closed_issues,total_issues,closed_issue_ratio
openai/CLIP,32747,1909,5.23,29,0,19,Jupyter Notebook,192,443,0.4334
google/comprehensive-rust,32713,1174,3.21,2403,0,0,Rust,242,362,0.6685
block/goose,32711,562,1.54,4311,123,0,Rust,1540,1821,0.8457
alibaba/nacos,32705,2824,7.73,3344,89,0,Java,9280,9489,0.978
stanfordnlp/dspy,32662,1154,3.16,1472,106,0,Python,1239,1516,0.8173
qier222/YesPlayMusic,32640,1977,5.41,292,32,50,Vue,1200,1834,0.6543
MonitorControl/MonitorControl,32625,3095,8.47,220,26,28,Swift,994,1010,0.9842
binarywang/WxJava,32609,3715,10.17,1186,31,0,Java,2453,2460,0.9972
restic/restic,32585,4334,11.87,2318,49,8,Go,2469,2917,0.8464
lutzroeder/netron,32543,5552,15.2,1,6,0,JavaScript,1237,1254,0.9864
remix-run/remix,32531,1959,5.36,3662,357,2,TypeScript,2659,2694,0.987
floating-ui/floating-ui,32478,3632,9.94,1209,506,6,TypeScript,1444,1477,0.9777
open-mmlab/mmdetection,32464,2756,7.55,2358,53,565,Python,6753,8524,0.7922
yewstack/yew,32462,3005,8.23,1888,38,0,Rust,1175,1269,0.9259
glanceapp/glance,32440,680,1.86,110,33,89,Go,294,507,0.5799
ItzCrazyKns/Vane,32429,699,1.91,83,33,0,TypeScript,433,615,0.7041
beego/beego,32428,5122,14.02,1328,43,0,Go,3380,3382,0.9994
k3s-io/k3s,32386,2839,7.77,4468,957,0,Go,7279,7388,0.9852
vercel/swr,32333,2324,6.36,816,126,10,TypeScript,831,973,0.8541
datalab-to/marker,32300,860,2.35,228,71,4,Python,324,651,0.4977
medusajs/medusa,32285,2242,6.14,8412,146,0,TypeScript,3595,3663,0.9814
lizongying/my-tv,32245,826,2.26,11,72,627,C,777,921,0.8436
Lissy93/web-check,32236,988,2.7,53,1,36,TypeScript,65,136,0.4779
0xAX/linux-insides,32225,4082,11.18,620,0,1,Python,168,191,0.8796
labstack/echo,32223,4026,11.02,629,116,13,Go,1441,1489,0.9678
google/material-design-lite,32215,4071,11.15,655,14,363,HTML,1814,2204,0.823
yunjey/pytorch-tutorial,32208,3286,9.0,28,0,937,Python,114,180,0.6333
apache/kafka,32184,5320,14.57,12793,0,0,Java,0,0,
facebookresearch/fairseq,32182,3114,8.53,236,16,160,Python,3060,4260,0.7183
