owner,repo,class_count,cbo_mean,cbo_median,cbo_std,dit_mean,dit_median,dit_std,lcom_mean,lcom_median,lcom_std,lcom_star_mean,lcom_star_median,lcom_star_std,loc_mean,loc_median,loc_std
apache,hadoop,21990,7.473579,4.000000,11.449041,1.618054,1.000000,1.469242,70.317735,0.000000,941.119828,0.301617,0.000000,0.352075,76.059754,23.000000,218.930262
apache,incubator-seata,4173,6.510903,4.000000,20.775975,1.760844,1.000000,14.108276,460.075965,2.000000,14699.352919,0.236062,0.000000,0.349696,66.858615,25.000000,1026.979506
apache,kafka,8866,7.967742,4.000000,13.452047,1.381570,1.000000,0.903346,64.920708,0.000000,1205.555201,0.310225,0.166667,0.343372,81.910670,27.000000,226.993952
apache,pulsar,7103,6.867098,4.000000,10.259108,1.705477,1.000000,3.890935,89.309728,0.000000,1464.498170,0.231668,0.000000,0.338652,71.937632,16.000000,204.674888
apache,rocketmq,3017,7.045409,4.000000,10.675258,1.314882,1.000000,0.708714,136.515744,1.000000,2871.877546,0.320543,0.250000,0.338215,78.288366,29.000000,165.724586
apache,shardingsphere,8903,7.375379,5.000000,13.525563,1.380209,1.000000,0.746594,29.701786,0.000000,421.967838,0.213977,0.000000,0.325123,27.938335,11.000000,65.197353
apache,skywalking,3448,6.057715,4.000000,7.270909,1.427494,1.000000,0.893173,6.859629,0.000000,31.534584,0.257122,0.000000,0.331590,35.587587,14.000000,60.607005
apache,zookeeper,1768,5.770928,3.000000,7.387497,1.972285,1.000000,2.976197,37.085407,0.000000,388.845654,0.277408,0.000000,0.339233,70.299774,27.000000,132.000277
apolloconfig,apollo,786,7.333333,6.000000,6.842790,1.239186,1.000000,0.670614,15.437659,0.000000,58.400871,0.325446,0.250000,0.329138,46.544529,27.000000,56.193172
arduino,Arduino,450,4.131111,2.000000,6.051609,1.768889,1.000000,1.922765,32.722222,0.000000,208.261027,0.237379,0.000000,0.332193,57.317778,18.000000,136.565652
ashishps1,awesome-leetcode-resources,11,1.181818,1.000000,0.404520,1.000000,1.000000,0.000000,4.727273,0.000000,8.259430,0.066667,0.000000,0.210819,32.727273,13.000000,31.282874
ashishps1,awesome-low-level-design,793,2.643127,2.000000,2.557423,1.138714,1.000000,0.433365,3.051702,0.000000,11.144533,0.174712,0.000000,0.273590,18.419924,13.000000,18.535360
ashishps1,awesome-system-design-resources,11,0.818182,1.000000,0.603023,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.174369,0.250000,0.148229,30.545455,26.000000,12.636167
baomidou,mybatis-plus,1047,5.950334,4.000000,9.605080,1.333333,1.000000,0.799538,25.031519,0.000000,151.424005,0.210805,0.000000,0.330310,37.493792,14.000000,68.545694
bazelbuild,bazel,10741,7.563821,5.000000,10.423614,1.621357,1.000000,1.332905,71.061074,1.000000,961.367987,0.256971,0.000000,0.337045,55.656270,18.000000,123.991634
ben-manes,caffeine,1408,5.049716,3.000000,6.820395,1.548295,1.000000,1.389553,166.433949,0.000000,1805.692213,0.216747,0.000000,0.319089,64.734375,15.500000,200.985116
binarywang,WxJava,5473,5.519094,4.000000,6.553316,1.212863,1.000000,0.442823,20.955966,0.000000,237.756890,0.438498,0.333333,0.438151,22.588525,10.000000,51.440747
brettwooldridge,HikariCP,185,4.383784,3.000000,4.196111,1.286486,1.000000,0.658623,172.670270,0.000000,1408.661311,0.212728,0.000000,0.340933,61.967568,24.000000,101.910868
bumptech,glide,1523,5.939593,4.000000,6.594329,1.229810,1.000000,0.784025,20.000657,0.000000,157.892620,0.223338,0.000000,0.309579,39.897571,13.000000,75.525083
chinabugotech,hutool,2727,3.598460,3.000000,3.948834,1.279061,1.000000,0.745403,101.068940,0.000000,952.642149,0.278594,0.000000,0.377993,49.807114,18.000000,104.167162
codecentric,spring-boot-admin,459,7.753813,6.000000,6.134088,1.289760,1.000000,0.684293,7.263617,0.000000,27.787917,0.233862,0.000000,0.303506,30.241830,17.000000,36.206111
conductor-oss,conductor,1340,7.488806,6.000000,7.862563,1.226119,1.000000,0.499803,61.027612,0.000000,335.060248,0.308622,0.166667,0.341112,70.875373,30.000000,132.223621
crossoverJie,JCSprout,162,1.962963,1.000000,1.857966,1.092593,1.000000,0.366375,1.765432,0.000000,6.358389,0.146774,0.000000,0.261457,27.154321,15.000000,33.328698
cryptomator,cryptomator,473,8.410148,6.000000,8.139466,1.420719,1.000000,0.962515,19.623679,1.000000,69.040964,0.296806,0.000000,0.344020,40.414376,22.000000,47.916169
daimajia,AndroidSwipeLayout,74,3.716216,2.000000,4.944958,1.324324,1.000000,0.599271,58.905405,0.000000,480.284395,0.120117,0.000000,0.250106,37.432432,6.000000,146.220614
daimajia,AndroidViewAnimations,82,3.378049,2.000000,7.030165,1.804878,2.000000,0.398733,2.292683,0.000000,12.889356,0.049047,0.000000,0.181012,11.768293,5.000000,25.229954
dataease,dataease,1131,4.959328,3.000000,7.539403,1.203360,1.000000,0.673931,28.438550,0.000000,185.021746,0.298799,0.000000,0.383754,39.621574,9.000000,124.914597
debezium,debezium,3348,6.842891,5.000000,7.536731,1.663082,1.000000,1.118863,60.653524,1.000000,566.846652,0.310500,0.000000,0.366224,65.123955,20.000000,168.194772
deeplearning4j,deeplearning4j,5732,8.414515,7.000000,9.561664,2.215980,2.000000,19.349582,54200.601710,6.000000,2355572.708527,0.256160,0.000000,0.346994,99.266050,28.000000,881.830029
dianping,cat,1893,5.459060,4.000000,5.869713,1.400951,1.000000,0.641532,22.695193,1.000000,100.275612,0.313052,0.000000,0.356753,51.805600,26.000000,69.158528
didi,DoKit,1569,4.476099,2.000000,5.723728,1.320586,1.000000,0.837477,71.768005,0.000000,634.398867,0.261551,0.000000,0.356760,51.367750,14.000000,105.805797
doocs,advanced-java,1,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,5.000000,0.000000
doocs,leetcode,172,2.662791,2.000000,2.003567,1.005814,1.000000,0.076249,0.430233,0.000000,1.289097,0.248205,0.250000,0.199175,27.720930,24.500000,17.290535
doocs,source-code-hunter,1,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,5.000000,0.000000
dromara,Sa-Token,766,4.408616,3.000000,4.447383,1.220627,1.000000,0.771819,60.101828,0.000000,694.261620,0.199744,0.000000,0.332824,36.429504,16.000000,74.295926
dyc87112,SpringBoot-Learning,269,4.457249,4.000000,2.990506,1.026022,1.000000,0.181390,1.479554,0.000000,7.198450,0.084883,0.000000,0.211594,10.468401,7.000000,8.261352
eclipse-vertx,vert.x,2022,6.641444,4.000000,9.296135,1.601879,1.000000,1.203761,157.442136,1.000000,1612.615707,0.230370,0.000000,0.337447,83.179031,22.000000,273.636346
elastic,logstash,933,5.411576,4.000000,5.899185,1.621651,1.000000,2.119155,21.430868,1.000000,105.782557,0.350366,0.200000,0.376514,47.015005,23.000000,74.802213
elunez,eladmin,282,8.014184,5.000000,7.683217,1.163121,1.000000,0.448392,6.258865,0.000000,19.563575,0.257571,0.000000,0.339389,28.617021,11.000000,49.646818
eugenp,tutorials,24536,4.118153,3.000000,3.994302,1.111673,1.000000,0.422035,5.858249,0.000000,39.997041,0.177228,0.000000,0.279814,22.088564,14.000000,37.238244
facebook,fresco,1001,6.527473,5.000000,6.355902,1.417582,1.000000,0.895238,27.182817,0.000000,120.124309,0.271037,0.000000,0.350645,46.444555,17.000000,69.727263
