owner,repo,status,message
Anuken,Mindustry,error,"Command '['java', '-jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/tools/ck/target/ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/Anuken__Mindustry', 'true', '0', 'false', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/output/Anuken__Mindustry']' returned non-zero exit status 1."
NationalSecurityAgency,ghidra,error,"Command '['java', '-jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/tools/ck/target/ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/NationalSecurityAgency__ghidra', 'true', '0', 'false', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/output/NationalSecurityAgency__ghidra']' returned non-zero exit status 1."
kestra-io,kestra,error,"Command '['java', '-jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/tools/ck/target/ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/kestra-io__kestra', 'true', '0', 'false', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/output/kestra-io__kestra']' returned non-zero exit status 1."
dbeaver,dbeaver,error,"Command '['java', '-jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/tools/ck/target/ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/dbeaver__dbeaver', 'true', '0', 'false', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/output/dbeaver__dbeaver']' returned non-zero exit status 1."
openjdk,jdk,error,"Command '['java', '-jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/tools/ck/target/ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/openjdk__jdk', 'true', '0', 'false', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/output/openjdk__jdk']' returned non-zero exit status 1."
thingsboard,thingsboard,error,"Command '['java', '-jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/tools/ck/target/ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/thingsboard__thingsboard', 'true', '0', 'false', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/output/thingsboard__thingsboard']' returned non-zero exit status 1."
openzipkin,zipkin,error,"Command '['java', '-jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/tools/ck/target/ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/openzipkin__zipkin', 'true', '0', 'false', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/output/openzipkin__zipkin']' returned non-zero exit status 1."
oracle,graal,error,"Command '['java', '-jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/tools/ck/target/ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/oracle__graal', 'true', '0', 'false', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/output/oracle__graal']' returned non-zero exit status 1."
elastic,elasticsearch,error,"Command '['java', '-jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/tools/ck/target/ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/elastic__elasticsearch', 'true', '0', 'false', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/output/elastic__elasticsearch']' returned non-zero exit status 1."
Grasscutters,Grasscutter,error,"Command '['java', '-jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/tools/ck/target/ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/Grasscutters__Grasscutter', 'true', '0', 'false', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/output/Grasscutters__Grasscutter']' returned non-zero exit status 1."
JetBrains,intellij-community,error,"Command '['java', '-jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/tools/ck/target/ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JetBrains__intellij-community', 'true', '0', 'false', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/output/JetBrains__intellij-community']' returned non-zero exit status 1."
projectlombok,lombok,error,"Command '['java', '-jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/tools/ck/target/ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/projectlombok__lombok', 'true', '0', 'false', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/output/projectlombok__lombok']' returned non-zero exit status 1."
neo4j,neo4j,error,"Command '['java', '-jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/tools/ck/target/ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/neo4j__neo4j', 'true', '0', 'false', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/output/neo4j__neo4j']' returned non-zero exit status 1."
questdb,questdb,error,"Command '['java', '-jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/tools/ck/target/ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/questdb__questdb', 'true', '0', 'false', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/output/questdb__questdb']' returned non-zero exit status 1."
provectus,kafka-ui,error,"Command '['java', '-jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/tools/ck/target/ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/provectus__kafka-ui', 'true', '0', 'false', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/output/provectus__kafka-ui']' returned non-zero exit status 1."
Tencent,VasSonic,ok,
Tencent,matrix,ok,
OpenRefine,OpenRefine,ok,
frank-lam,fullstack-tutorial,ok,
code4craft,webmagic,ok,
newbee-ltd,newbee-mall,ok,
datahub-project,datahub,ok,
realm,realm-java,ok,
jd-opensource,joyagent-jdgenie,ok,
careercup,CtCI-6th-Edition,ok,
gyf-dev,ImmersionBar,ok,
opensearch-project,OpenSearch,ok,
ssssssss-team,spider-flow,ok,
jhy,jsoup,ok,
mission-peace,interview,ok,
LawnchairLauncher,lawnchair,ok,
permissions-dispatcher,PermissionsDispatcher,ok,
langchain4j,langchain4j,ok,
StarRocks,starrocks,ok,
H07000223,FlycoTabLayout,ok,
lingochamp,FileDownloader,ok,
apereo,cas,ok,
jwtk,jjwt,ok,
jfeinstein10,SlidingMenu,ok,
apple,pkl,ok,
androidannotations,androidannotations,ok,
square,javapoet,ok,
asLody,VirtualApp,ok,
daniulive,SmarterStreaming,ok,
clojure,clojure,ok,
TooTallNate,Java-WebSocket,ok,
alibaba,vlayout,ok,
zfile-dev,zfile,ok,
android-async-http,android-async-http,ok,
jeasonlzy,okhttp-OkGo,ok,
resilience4j,resilience4j,ok,
google,auto,ok,
lipangit,JiaoZiVideoPlayer,ok,
Activiti,Activiti,ok,
tbruyelle,RxPermissions,ok,
signalapp,Signal-Server,ok,
iflytek,astron-agent,ok,
JessYanCoding,MVPArms,ok,
aosp-mirror,platform_frameworks_base,error,"Command '['java', '-jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/tools/ck/target/ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/aosp-mirror__platform_frameworks_base', 'true', '0', 'false', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/output/aosp-mirror__platform_frameworks_base']' returned non-zero exit status 1."
JingMatrix,LSPosed,ok,
awsdocs,aws-doc-sdk-examples,ok,
ZCShou,GoGoGo,ok,
JakeWharton,ViewPagerIndicator,ok,
happydog-intj,JsBridge,ok,
xuchengsheng,spring-reading,ok,
wasabeef,glide-transformations,ok,
googlesamples,easypermissions,ok,
hackware1993,MagicIndicator,ok,
paascloud,paascloud-master,ok,
HarlonWang,AVLoadingIndicatorView,ok,
lihengming,spring-boot-api-project-seed,ok,
OpenFeign,feign,ok,
YoKeyword,Fragmentation,ok,
SonarSource,sonarqube,ok,
perwendel,spark,ok,
koral--,android-gif-drawable,ok,
react-native-camera,react-native-camera,ok,
stanfordnlp,CoreNLP,ok,
ksoichiro,Android-ObservableScrollView,ok,
spinnaker,spinnaker,ok,
bilibili,DanmakuFlameMaster,ok,
flyway,flyway,ok,
seven332,EhViewer,ok,
liaohuqiu,android-Ultra-Pull-To-Refresh,ok,
MyCATApache,Mycat-Server,ok,
crossoverJie,cim,ok,
umano,AndroidSlidingUpPanel,ok,
Justson,AgentWeb,ok,
json-path,JsonPath,ok,
pockethub,PocketHub,ok,
huanghaibin-dev,CalendarView,ok,
apache,cassandra,ok,
GcsSloop,AndroidNote,ok,
android,testing-samples,ok,
spring-projects,spring-security,ok,
cats-oss,android-gpuimage,ok,
apache,jmeter,ok,
didi,VirtualAPK,ok,
AutoMQ,automq,ok,
opendataloader-project,opendataloader-pdf,ok,
KunMinX,Jetpack-MVVM-Best-Practice,ok,
navasmdc,MaterialDesignLibrary,ok,
Freelander,Android_Data,ok,
HMCL-dev,HMCL,ok,
apache,seatunnel,ok,
LSPosed,LSPatch,ok,
alibaba,spring-ai-alibaba,ok,
frohoff,ysoserial,ok,
java-native-access,jna,ok,
PojavLauncherTeam,PojavLauncher,ok,
karatelabs,karate,ok,
flowable,flowable-engine,ok,
checkstyle,checkstyle,error,"Command '['java', '-jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/tools/ck/target/ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/checkstyle__checkstyle', 'true', '0', 'false', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/output/checkstyle__checkstyle']' returned non-zero exit status 1."
nathanmarz,storm,ok,
laobie,StatusBarUtil,ok,
Blankj,awesome-java-leetcode,ok,
cabaletta,baritone,ok,
chrisbanes,Android-PullToRefresh,ok,
ybq,Android-SpinKit,ok,
amitshekhariitbhu,Android-Debug-Database,ok,
react-native-image-picker,react-native-image-picker,ok,
shwenzhang,AndResGuard,ok,
apache,shenyu,ok,
testcontainers,testcontainers-java,ok,
dropwizard,dropwizard,ok,
airbnb,epoxy,ok,
google,tsunami-security-scanner,ok,
chrisjenx,Calligraphy,ok,
junit-team,junit4,ok,
aeron-io,aeron,ok,
DImuthuUpe,AndroidPdfViewer,ok,
apache,iceberg,ok,
wildfirechat,im-server,ok,
roughike,BottomBar,ok,
hs-web,hsweb-framework,ok,
bytedeco,javacv,ok,
spring-projects,spring-ai,error,"Command '['git', 'clone', '--depth', '1', 'https://github.com/spring-projects/spring-ai.git', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/spring-projects__spring-ai']' returned non-zero exit status 128."
alibaba,transmittable-thread-local,ok,
aritraroy,UltimateAndroidReference,ok,
apache,shardingsphere-elasticjob,ok,
krahets,LeetCode-Book,ok,
apache,beam,ok,
alibaba,atlas,ok,
alibaba,otter,ok,
florent37,MaterialViewPager,ok,
guolindev,LitePal,ok,
LaurieWired,GhidraMCP,ok,
pentaho,pentaho-kettle,ok,
junixapp,XPopup,ok,
davemorrissey,subsampling-scale-image-view,ok,
Netflix,SimianArmy,ok,
apache,tomcat,ok,
JakeWharton,hugo,ok,
gunnarmorling,1brc,ok,
jeecgboot,jimureport,ok,
exadel-inc,CompreFace,ok,
dropwizard,metrics,ok,
HannahMitt,HomeMirror,ok,
lecho,hellocharts-android,ok,
ChrisRM,material-theme-jetbrains,ok,
Tencent,Shadow,ok,
AntennaPod,AntennaPod,ok,
Graylog2,graylog2-server,ok,
goldze,MVVMHabit,ok,
PowerJob,PowerJob,ok,
trello-archive,RxLifecycle,ok,
vipshop,vjtools,ok,
gedoor,MyBookshelf,ok,
MuntashirAkon,AppManager,ok,
mapstruct,mapstruct,ok,
google,android-classyshark,ok,
FongMi,TV,ok,
koush,AndroidAsync,ok,
kaushikgopal,RxJava-Android-Samples,ok,
kevin-wayne,algs4,ok,
MinecraftForge,MinecraftForge,ok,
yuanguangxin,LeetCode,ok,
Genymobile,gnirehtet,ok,
swagger-api,swagger-core,ok,
lenve,VBlog,ok,
dyc87112,SpringCloud-Learning,ok,
dependency-check,DependencyCheck,ok,
abel533,Mapper,ok,
enso-org,enso,ok,
Qihoo360,RePlugin,ok,
leolin310148,ShortcutBadger,ok,
square,dagger,ok,
Bearded-Hen,Android-Bootstrap,ok,
iflytek,astron-rpa,ok,
zhongyi-tong,WeChatLuckyMoney,ok,
Exrick,xmall,ok,
crazycodeboy,TakePhoto,ok,
pedant,sweet-alert-dialog,ok,
NanoHttpd,nanohttpd,ok,
gocd,gocd,ok,
cymcsg,UltimateRecyclerView,ok,
didi,KnowStreaming,ok,
wiremock,wiremock,ok,
google,error-prone,ok,
