file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/Kodezi__Chronos/examples/null_pointer/after.java,UserPreferences,class,2,6,4,2,5,1,0,1,1,0.5555556,0.0,0.0,3,1,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,23,4,0,1,1,0,3,0,4,0,4,1,0,0,0,23,1,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/Kodezi__Chronos/examples/null_pointer/after.java,UserService,class,6,8,1,7,9,1,0,14,1,0.33333334,0.0,0.0,3,0,2,1,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,31,0,0,4,0,0,3,0,7,0,6,1,0,0,0,25,1,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/Kodezi__Chronos/examples/null_pointer/after.java,NotificationHandler,class,2,5,1,4,7,1,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,5,0,0,7,0,3,0,3,1,0,0,0,20,1,2
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/Kodezi__Chronos/benchmarks/mrr_full_benchmark/artifacts/code_snippets/mrr_syntax_errors_0398_file_10.java,DataManager,class,4,9,0,9,2,1,0,1,0,0.25,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,11,1,0,0,0,0,0,0,2,0,2,0,0,0,0,8,1,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/Kodezi__Chronos/examples/null_pointer/after.java,PreferenceManager,class,3,4,1,3,3,1,0,4,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,13,2,0,0,0,0,1,0,0,0,1,0,0,0,0,15,1,0
