has_ai_policy,n_repositories,prs_total_mean,prs_total_median,prs_opened_mean,prs_opened_median,prs_merged_mean,prs_merged_median,prs_closed_mean,prs_closed_median,issues_total_mean,issues_total_median,issues_opened_mean,issues_opened_median,issues_closed_mean,issues_closed_median,unique_collaborators_mean,unique_collaborators_median,avg_pr_comments_mean,avg_pr_comments_median,avg_issue_comments_mean,avg_issue_comments_median,avg_pr_reviews_mean,avg_pr_reviews_median
Without AI Policy,874,5536.007,1405.5,144.305,45.0,3845.963,885.5,1545.738,370.0,4977.445,2024.5,616.445,172.5,4361.0,1670.0,104.865,91.0,1.825,1.44,3.479,3.14,1.006,0.589
With AI Policy,124,12087.097,5908.5,386.492,133.5,8100.032,4018.5,3600.573,1168.0,8811.911,4607.0,1144.766,427.0,7667.145,3680.5,119.056,97.5,2.552,2.032,4.236,4.109,1.718,1.314
