repo,url,clusters,cluster_labels,policy_mentions,policy_files,total_policy_words
krahets/hello-algo,https://github.com/krahets/hello-algo.git,1,Responsabilidade humana sobre contribuições assistidas por IA,1,CONTRIBUTING.md,55
louislam/uptime-kuma,https://github.com/louislam/uptime-kuma.git,0,Governança ampla do uso de IA,1,PULL_REQUEST_TEMPLATE.md,96
mastodon/mastodon,https://github.com/mastodon/mastodon.git,1,Responsabilidade humana sobre contribuições assistidas por IA,1,CONTRIBUTING.md,58
meilisearch/meilisearch,https://github.com/meilisearch/meilisearch.git,2,Declaração obrigatória do uso de IA,1,pull_request_template.md && CONTRIBUTING.md,202
microsoft/TypeScript,https://github.com/microsoft/TypeScript.git,0,Governança ampla do uso de IA,1,CONTRIBUTING.md,45
microsoft/generative-ai-for-beginners,https://github.com/microsoft/generative-ai-for-beginners.git,2,Declaração obrigatória do uso de IA,1,CONTRIBUTING.md,48
microsoft/playwright,https://github.com/microsoft/playwright.git,2,Declaração obrigatória do uso de IA,1,CONTRIBUTING.md,63
mudler/LocalAI,https://github.com/mudler/LocalAI.git,0,Governança ampla do uso de IA,1,CONTRIBUTING.md,103
nothings/stb,https://github.com/nothings/stb.git,2,Declaração obrigatória do uso de IA,1,CONTRIBUTING.md,27
numpy/numpy,https://github.com/numpy/numpy.git,2,Declaração obrigatória do uso de IA,1,PULL_REQUEST_TEMPLATE.md,57
nuxt/nuxt,https://github.com/nuxt/nuxt.git,0,Governança ampla do uso de IA,1,CONTRIBUTING.md,65
obsproject/obs-studio,https://github.com/obsproject/obs-studio.git,0,Governança ampla do uso de IA,1,CONTRIBUTING.md,24
ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh.git,0,Governança ampla do uso de IA,1,PULL_REQUEST_TEMPLATE.md && CONTRIBUTING.md,363
onyx-dot-app/onyx,https://github.com/onyx-dot-app/onyx.git,1,Responsabilidade humana sobre contribuições assistidas por IA,1,CONTRIBUTING.md,23
openclaw/openclaw,https://github.com/openclaw/openclaw.git,0,Governança ampla do uso de IA,1,CONTRIBUTING.md,184
paperclipai/paperclip,https://github.com/paperclipai/paperclip.git,0,Governança ampla do uso de IA,1,CONTRIBUTING.md,87
paperless-ngx/paperless-ngx,https://github.com/paperless-ngx/paperless-ngx.git,0,Governança ampla do uso de IA,1,PULL_REQUEST_TEMPLATE.md && CONTRIBUTING.md,145
pathwaycom/llm-app,https://github.com/pathwaycom/llm-app.git,0,Governança ampla do uso de IA,1,CONTRIBUTING.md,22
photoprism/photoprism,https://github.com/photoprism/photoprism.git,0,Governança ampla do uso de IA,1,CONTRIBUTING.md,50
php/php-src,https://github.com/php/php-src.git,0,Governança ampla do uso de IA,1,CONTRIBUTING.md,70
pocketbase/pocketbase,https://github.com/pocketbase/pocketbase.git,0,Governança ampla do uso de IA,1,CONTRIBUTING.md,85
pytorch/pytorch,https://github.com/pytorch/pytorch.git,0,Governança ampla do uso de IA,1,CONTRIBUTING.md,391
qdrant/qdrant,https://github.com/qdrant/qdrant.git,0,Governança ampla do uso de IA,1,CONTRIBUTING.md,134
rapid7/metasploit-framework,https://github.com/rapid7/metasploit-framework.git,0,Governança ampla do uso de IA,1,CONTRIBUTING.md,372
reflex-dev/reflex,https://github.com/reflex-dev/reflex.git,0,Governança ampla do uso de IA,1,CONTRIBUTING.md,16
rtk-ai/rtk,https://github.com/rtk-ai/rtk.git,0,Governança ampla do uso de IA,1,CONTRIBUTING.md,52
run-llama/llama_index,https://github.com/run-llama/llama_index.git,0,Governança ampla do uso de IA,1,CONTRIBUTING.md,31
rust-lang/rust,https://github.com/rust-lang/rust.git,0,Governança ampla do uso de IA,1,CONTRIBUTING.md,91
sahat/hackathon-starter,https://github.com/sahat/hackathon-starter.git,0,Governança ampla do uso de IA,1,PULL_REQUEST_TEMPLATE.md,158
scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn.git,0,Governança ampla do uso de IA,1,PULL_REQUEST_TEMPLATE.md,68
scrapy/scrapy,https://github.com/scrapy/scrapy.git,0,Governança ampla do uso de IA,1,pull_request_template.md,53
sgl-project/sglang,https://github.com/sgl-project/sglang.git,0,Governança ampla do uso de IA,1,contributing.md,45
sharkdp/fd,https://github.com/sharkdp/fd.git,0,Governança ampla do uso de IA,1,CONTRIBUTING.md,231
sipeed/picoclaw,https://github.com/sipeed/picoclaw.git,0,Governança ampla do uso de IA,1,CONTRIBUTING.md,272
stanfordnlp/dspy,https://github.com/stanfordnlp/dspy.git,0,Governança ampla do uso de IA,1,CONTRIBUTING.md,139
storybookjs/storybook,https://github.com/storybookjs/storybook.git,0,Governança ampla do uso de IA,1,CONTRIBUTING.md,46
streamlit/streamlit,https://github.com/streamlit/streamlit.git,0,Governança ampla do uso de IA,1,CONTRIBUTING.md,0
tauri-apps/tauri,https://github.com/tauri-apps/tauri.git,0,Governança ampla do uso de IA,1,CONTRIBUTING.md,92
topoteretes/cognee,https://github.com/topoteretes/cognee.git,0,Governança ampla do uso de IA,1,pull_request_template.md,30
ueberdosis/tiptap,https://github.com/ueberdosis/tiptap.git,0,Governança ampla do uso de IA,1,pull_request_template.md && CONTRIBUTING.md,86
utmapp/UTM,https://github.com/utmapp/UTM.git,0,Governança ampla do uso de IA,1,CONTRIBUTING.md,291
vim/vim,https://github.com/vim/vim.git,1,Responsabilidade humana sobre contribuições assistidas por IA,1,CONTRIBUTING.md,33
vllm-project/vllm,https://github.com/vllm-project/vllm.git,0,Governança ampla do uso de IA,1,README.md,108
yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp.git,0,Governança ampla do uso de IA,1,PULL_REQUEST_TEMPLATE.md && CONTRIBUTING.md,371
zed-industries/zed,https://github.com/zed-industries/zed.git,0,Governança ampla do uso de IA,1,CONTRIBUTING.md,181
zeroclaw-labs/zeroclaw,https://github.com/zeroclaw-labs/zeroclaw.git,0,Governança ampla do uso de IA,1,CONTRIBUTING.md,110
