pair_id,repository,owner,repo,scenario_id,scenario_name,run_number,rest_elapsed_ms,graphql_elapsed_ms,delta_elapsed_ms,delta_elapsed_pct,rest_response_bytes,graphql_response_bytes,delta_response_bytes,delta_response_pct,rest_request_count,graphql_request_count
mem0ai/mem0:C3:run012,mem0ai/mem0,mem0ai,mem0,C3,recent_issues,12,811.131,478.775,-332.356,-40.974,50971,2617,-48354,-94.866,1,1
mem0ai/mem0:C3:run013,mem0ai/mem0,mem0ai,mem0,C3,recent_issues,13,650.080,530.522,-119.558,-18.391,50971,2617,-48354,-94.866,1,1
mem0ai/mem0:C3:run014,mem0ai/mem0,mem0ai,mem0,C3,recent_issues,14,704.332,502.486,-201.846,-28.658,38113,2631,-35482,-93.097,1,1
mem0ai/mem0:C3:run015,mem0ai/mem0,mem0ai,mem0,C3,recent_issues,15,632.131,454.191,-177.940,-28.149,38113,2631,-35482,-93.097,1,1
mem0ai/mem0:C3:run016,mem0ai/mem0,mem0ai,mem0,C3,recent_issues,16,666.230,454.499,-211.731,-31.780,38113,2631,-35482,-93.097,1,1
mem0ai/mem0:C3:run017,mem0ai/mem0,mem0ai,mem0,C3,recent_issues,17,633.239,474.590,-158.649,-25.054,38113,2631,-35482,-93.097,1,1
mem0ai/mem0:C3:run018,mem0ai/mem0,mem0ai,mem0,C3,recent_issues,18,610.372,668.980,58.608,9.602,38113,2631,-35482,-93.097,1,1
mem0ai/mem0:C3:run019,mem0ai/mem0,mem0ai,mem0,C3,recent_issues,19,632.242,498.754,-133.488,-21.113,38113,2631,-35482,-93.097,1,1
mem0ai/mem0:C3:run020,mem0ai/mem0,mem0ai,mem0,C3,recent_issues,20,758.358,530.389,-227.969,-30.061,38113,2631,-35482,-93.097,1,1
mem0ai/mem0:C3:run021,mem0ai/mem0,mem0ai,mem0,C3,recent_issues,21,783.669,475.865,-307.804,-39.277,38113,2631,-35482,-93.097,1,1
